,latitude,longitude,year,education,memory,beta_l,beta_s,beta_p,reference_income,aspiration_coef,tolerance_income,tolerance_activity,lambda,alpha_plus,alpha_minus,phi_plus,phi_minus,opt_fuzzy_size,imt_fuzzy_size,ranking_version,learning_rate
Mettmann,0,0,1981,6,5,1,1,1,100,0,0.1,0.08,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Bocholt,0,0,1981,6,5,1,1,1,100,0,0.1,0.19,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Schleiden,0,0,1981,6,5,1,1,1,100,0,0.1,0.28,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Ratingen,0,0,1981,9,5,1,1,1,100,0,0.1,0.15,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Meerbusch,0,0,1981,12,5,1,1,1,100,0,0.1,0.18,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Hellenthal,0,0,1981,5,5,1,1,1,100,0,0.1,0.28,2.25,0.88,0.88,0.61,0.69,72,9,0,1
UebachPalenberg,0,0,1981,10,5,1,1,1,100,0,0.1,0.18,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Bestwig,0,0,1981,11,5,1,1,1,100,0,0.1,0.19,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Lengerich,0,0,1981,12,5,1,1,1,100,0,0.1,0.09,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Radevormwald,0,0,1981,11,5,1,1,1,100,0,0.1,0.25,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Siegen,0,0,1981,7,5,1,1,1,100,0,0.1,0.12,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Soest,0,0,1981,7,5,1,1,1,100,0,0.1,0.16,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Issum,0,0,1981,11,5,1,1,1,100,0,0.1,0.1,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Waltrop,0,0,1981,14,5,1,1,1,100,0,0.1,0.23,2.25,0.88,0.88,0.61,0.69,72,9,0,1
CastropRauxel,0,0,1981,11,5,1,1,1,100,0,0.1,0.06,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Nettetal,0,0,1981,6,5,1,1,1,100,0,0.1,0.3,2.25,0.88,0.88,0.61,0.69,72,9,0,1
BadSalzuflen,0,0,1981,12,5,1,1,1,100,0,0.1,0.3,2.25,0.88,0.88,0.61,0.69,72,9,0,1
