agent,activity01,activity02,activity03,activity04,activity05,activity06,activity07,activity08,activity09,activity10,activity11,activity12,activity13,activity14,activity15,activity16,activity17,activity18,activity19,activity20,activity21,activity22,activity23,activity24,activity25,activity26,activity27,activity28,activity29,activity30,activity31,activity32,activity33,activity34,activity35,activity36,activity37,activity38,activity39,activity40,activity41,activity42,activity43,activity44,activity45,activity46,activity47,activity48,activity49,activity50,activity51,activity52,activity53,activity54,activity55,activity56,activity57,activity58,activity59,activity60,activity61,activity62,activity63,activity64,activity65,activity66,activity67,activity68,activity69,activity70,activity71,activity72
Hellenthal               ,-126.94,-130.72,-114.62,-172.89,-117.88,-148.86,39.15,57.32,0.04,54.84,24.04,47.69,-9.35,45.4,36.42,-20.82,33.98,50.83,69.47,12.42,67.17,36.41,57.56,0.59,55.33,47.94,-9.28,45.51,42.54,-14.66,40.13,37.36,56.03,-1.01,53.74,22.98,9.67,-47.64,7.16,20.72,-36.64,18.18,6.97,25.77,-7.21,10.96,29.82,-3.14,-18.1,0.66,-32.33,11.11,-45.94,8.81,32.02,-25.08,29.69,20.77,-36.17,18.56,54.62,71.86,14.13,43.44,61,3.42,4.8,22.59,-34.87,-34.85,-16.89,-74.26
Hilden                   ,45.83,65.55,73.57,5.8,63.16,30.2,275.05,288.86,221.38,278.73,245.78,281.86,214.43,271.77,273.31,205.85,263.2,285.89,299.94,232.48,289.83,256.88,290.04,222.61,279.95,284.86,217.41,274.76,280.7,213.25,270.6,276.02,290.2,222.76,280.11,247.16,246,178.53,235.88,259.28,191.81,249.16,244.32,258.53,215.5,246.23,260.4,217.36,218.42,232.58,189.54,245.61,178.18,235.52,267.9,200.46,257.81,252.81,185.38,242.73,277.7,290.84,223.25,272.92,287.26,219.72,238.3,252.91,185.4,200.88,215.66,147.07
Hoevelhof                ,-239.46,-62.67,-64.76,-123.7,-65.94,-96.75,263.62,268.3,210.4,268.08,237.35,291.81,234.13,291.8,265.02,207.22,264.9,287.8,294.06,235.18,292.85,262.12,304.89,247.24,304.91,283.76,226.01,283.68,285.74,228.02,285.7,295.38,301.37,243.7,301.37,270.65,229.99,172.13,229.81,242.67,184.81,242.49,268.72,274.94,244.25,265.56,271.54,240.81,236.14,242.05,211.31,255.91,198.24,255.91,275.99,218.31,275.98,270.74,213.11,270.77,199.86,201.48,143.05,218.13,216.91,158.67,196.78,200.73,142.62,172.36,176.24,118.23
Holzwickede              ,96.67,115.26,135.65,70.93,127.9,95.28,330.41,352.24,288.17,345.08,312.52,346.41,282.44,339.33,335.54,271.52,328.41,342.18,364.35,300.35,357.24,324.69,355.72,291.77,348.66,347.32,283.3,340.2,342.84,278.84,335.74,332.49,354.85,290.88,347.77,315.23,306.73,242.67,299.57,318.25,254.18,311.08,299.4,323.93,284.33,301.92,326.43,286.82,275.47,297.83,258.21,310.15,246.18,303.07,331.98,268.01,324.9,318.65,254.7,311.6,327.26,349.69,285.35,323.33,346.32,279.97,289.28,310.54,246.37,252.57,274.08,209.96
Hopsten                  ,-147.5,95.95,101.46,43.99,101.62,70.93,340.61,348.53,291.75,349.33,318.69,346.41,289.73,347.3,333.78,277.05,334.62,353.56,361.84,305.12,362.69,332.06,355.9,299.23,356.8,347.88,291.17,348.74,344.67,287.98,345.55,346.47,355.04,298.36,355.93,325.29,305.75,249,306.57,318.39,261.63,319.21,314.28,325.05,295.32,317.22,325.8,296.05,289.19,297.74,268,310.29,253.61,311.18,332.09,275.41,332.98,319.75,263.09,320.65,326.6,333.65,276.58,326.75,335.63,278.68,295.94,305.29,248.41,261.23,268.8,211.97
Issum                    ,68.68,87.51,101.41,37.99,88.92,57.01,304.51,321.24,258.12,309.03,277.13,313.61,250.53,301.44,304.94,241.85,292.76,314.75,331.69,268.6,319.51,287.61,321.8,258.72,309.63,316.96,253.86,304.77,312.55,249.46,300.37,304.86,321.95,258.87,309.78,277.88,277.85,214.75,265.66,290.65,227.54,278.45,273.32,290.43,246.37,275.26,292.34,248.28,247.39,264.45,220.39,277.32,214.24,265.15,299.66,236.58,287.48,284.7,221.62,272.53,305.42,319.99,256.76,301.96,316.98,253.8,267.67,282.97,219.81,229.34,245.92,182.79
Juechen                  ,69.52,84.52,106.73,44.7,101.11,68.98,291.3,316.8,255.7,311.98,279.95,310.4,247.33,303.59,299.4,238.36,294.63,302.08,329.09,268.08,324.35,292.34,320.78,257.76,314.01,309.15,248.09,304.36,304.61,243.56,299.84,291.89,319.08,256.02,312.28,280.27,268.59,207.46,263.75,280.29,219.15,275.43,260.36,287.6,248.81,264.21,291.5,252.71,235.16,262.36,223.56,274.24,211.17,267.43,295.49,232.41,288.67,282.65,219.61,275.87,289.59,314.54,251.91,284.04,308.45,247.06,249.15,273.95,212.66,212.04,237.11,175.89
Kirchlengern             ,105.59,130.48,147.92,80.38,138.7,104.76,349.24,370.01,304.02,361.22,328.41,364.22,298.31,355.49,354.73,288.67,345.98,360.96,382.03,315.97,373.16,340.36,372.76,306.85,364.04,366.08,300.02,357.21,361.82,295.77,352.96,351.54,372.67,306.75,363.94,331.14,326.36,260.39,317.58,338.63,272.66,329.86,320.03,341.19,299.66,322.06,343.18,301.65,293.98,315.08,273.55,327.98,262.06,319.25,350.1,284.18,341.37,335.65,269.75,326.93,348.45,365.8,299.64,345.51,363.39,297.3,311.78,330,263.96,272.96,293.51,227.5
Lengerich                ,80.16,98.98,106.06,48.58,106.08,75.5,311.38,321.83,265.71,323.16,292.63,314.5,258.46,315.9,304.16,248.08,305.52,321.25,331.95,275.88,333.33,302.8,323.27,265.14,322.58,316.75,260.68,318.13,312.34,256.28,313.73,312.08,322.99,266.95,324.4,293.87,276.39,220.28,277.73,288.82,232.71,290.16,281.06,292.03,260.82,283.05,293.98,264.86,254.85,265.75,236.63,278.31,222.27,279.71,300.1,244.06,301.5,286.56,228.43,285.87,311.11,320.17,262.7,306.78,315.26,258.99,272.28,281.11,224.9,235.15,244.21,188.04
Leverkusen               ,68.94,84.84,105.19,41.61,98.42,65.96,295.51,319.11,256.32,313.04,280.65,311.27,246.48,303.19,301.05,238.31,295.02,305.54,330.58,267.87,324.58,292.2,321.21,256.45,313.15,312.52,249.78,306.5,308.37,245.66,302.37,294.82,320.02,255.23,311.94,279.57,272.69,209.91,266.62,284.6,221.81,278.53,264.01,289.28,248.85,266.87,292.13,251.7,238.36,263.58,223.14,274.97,210.18,266.89,296.82,232.02,288.73,283.99,219.23,275.93,292.57,315.66,251.42,287.57,310.12,247.1,252.93,275.85,212.91,215.9,239.07,176.19
Lippetal                 ,-259.93,-106.75,-98.59,-166.29,-108.97,-141.89,217.89,233.58,166.95,224.19,191.34,268.74,202.39,259.61,240.51,174.04,231.27,254.1,271.08,204.63,261.85,229.01,284.22,217.92,275.14,252.4,185.93,243.15,255.76,189.34,246.56,261.79,278.52,212.19,269.4,236.57,196.93,130.35,187.59,208.09,141.51,198.74,233.62,250.52,208.59,232.05,248.77,206.82,201.71,219.42,176.35,232.79,166.45,223.67,254.23,186.78,244,247.32,181.03,238.24,150.18,161.86,94.66,168.72,181.77,114.76,152.9,166.99,95.95,130.18,140.86,74.11
Lotte                    ,92.31,112.45,118.77,61.86,119.4,88.79,326.94,337.42,278.97,336.46,305.9,328.47,272.2,329.68,318.32,262.01,319.51,337.32,345.98,289.67,347.16,316.6,337.23,280.97,338.46,330.88,274.58,332.07,326.73,270.44,327.93,328.12,336.97,280.7,338.19,307.63,291.08,234.75,292.24,303.39,247.06,304.55,297.1,306.01,276.67,298.84,307.7,278.35,270.84,279.68,250.33,292.35,236.08,293.57,314.22,257.94,315.43,300.54,244.28,301.77,326.58,334.6,278.03,322.63,331.18,274.7,287.2,297.2,240.77,250.14,260.37,203.98
Luedinghausen            ,84.71,105.03,119.95,57.01,107.89,76.02,323.87,340.5,277.92,328.77,296.93,333.22,270.68,321.54,324.57,262.02,312.87,334.56,351.44,288.88,339.73,307.89,341.47,278.94,329.79,336.14,273.59,324.44,331.67,269.12,319.98,324.58,341.6,279.06,329.91,298.07,297.13,234.56,285.41,309.67,247.1,297.95,293.02,310.08,266.55,295.03,312.05,268.52,267.16,284.16,240.63,297,234.46,285.32,319.28,256.74,307.59,304.42,241.88,292.74,323.45,339.93,277.2,319.12,337.17,274.51,285.02,303.38,240.75,247.97,264.42,201.81
Marienmuenster           ,65.64,78.47,102.94,43.54,99.31,67.71,276.31,303.87,245.55,301.14,269.7,301.55,243.5,299.05,288.33,230.13,285.7,292.44,320.67,262.57,318.12,286.71,311.53,253.52,309.06,297.94,239.71,295.29,293.03,234.82,290.4,281.68,310.08,252.04,307.58,276.18,258.04,199.73,255.32,267.32,208.96,264.56,250.42,278.88,245,254.09,282.59,248.72,224.8,253.2,219.3,265.27,207.22,262.77,286.08,228,283.55,274.29,214.18,271.83,279.95,307.12,247.23,273.51,301.23,241.52,238.11,265.12,206.63,200.72,228.01,169.61
Mechernich               ,-29.89,-20.2,-2.22,-65.18,-8.7,-40.9,172.55,193.45,127.1,183.47,151.36,182.12,120.08,176.44,171.77,109.66,166.02,184.66,201.8,139.74,196.09,164,192.05,130.05,186.4,181.67,119.54,175.91,177.11,115,171.37,173.4,190.68,128.65,185,152.91,146.8,80.44,136.81,157.57,91.18,147.56,141.8,159.12,121.37,145.4,162.75,125.01,116.55,133.83,96.07,145.86,83.83,140.18,167.3,105.26,161.61,154.04,92.03,148.38,177.98,197.57,135.04,170.33,190.38,127.97,134.03,154.4,92.08,95.95,116.55,54.29
Meerbusch                ,53.42,70.4,87.03,24.82,75.6,43.82,282.31,300.87,239.11,289.85,258.1,294.65,232.95,283.69,285.34,223.61,274.35,293.85,312.71,250.99,301.73,269.99,303.48,241.79,292.53,296.68,234.95,285.69,292.7,230.98,281.73,284.08,303.11,241.41,292.15,260.4,257.24,195.49,246.24,270.31,208.56,259.3,252.65,271.72,229.02,254.73,273.76,231.06,226.66,245.67,202.97,258.43,196.72,247.47,280.63,218.93,269.67,266.17,204.48,255.22,282.61,301.07,239.12,278.3,297.24,235.37,243.79,261.95,200.12,206.64,225,163.2
Mettmann                 ,97.88,121.63,140.63,75.03,132.14,99.4,337.83,358.09,293.04,350.1,317.41,354.29,289.33,346.38,344.39,279.39,336.45,349.85,372.65,307.66,364.72,332.03,363.52,298.58,355.63,354.98,289.98,347.04,351.54,286.56,343.62,339.79,362.75,297.79,354.85,322.16,315.88,250.85,307.91,327.77,262.74,319.8,308.37,331.38,290.79,310.41,333.37,292.79,282.26,305.19,264.6,318.04,253.08,310.14,340.16,275.2,332.25,325.93,260.99,318.04,336.13,357.16,291.89,332.66,352.12,286.94,298.79,318.61,253.48,262.11,282.17,217.09
Moenchengladbach         ,72.79,89.42,109.11,44.97,101.84,69.32,300.48,324.49,261.08,317.87,285.42,314.93,251.62,308.39,307.16,241.69,298.47,311.28,335.61,270.15,326.93,294.49,324.63,261.34,318.11,317.74,252.27,309.05,313.24,247.78,304.56,301.1,323.5,260.19,316.97,284.53,277.48,214.06,270.85,289.56,226.14,282.93,269.76,292.21,253.25,272.9,295.36,256.39,244.29,266.7,227.73,278.68,215.36,272.14,302.56,237.13,293.9,286.99,223.69,280.46,298.33,319.67,255.94,293.6,315.49,251.86,259.1,281.35,217.81,222.14,244.65,181.15
Nettetal                 ,71.44,89.29,109.19,48.84,99.42,67.83,302.12,326.31,266.64,317.16,285.63,317.65,255.96,306.47,307.59,247.95,298.47,312.02,336.48,274.76,325.27,293.74,324.96,265.39,315.9,320.22,258.49,309.01,315.94,254.23,304.74,301.61,326.23,264.54,315.05,283.52,280.12,220.45,270.97,292.58,232.91,283.43,271.09,293.69,253.1,273.41,295.98,255.39,245.22,269.86,227.16,281.23,219.54,270.05,303.2,241.49,292.01,288.25,228.69,279.19,299.85,321.41,261.45,295.36,317.46,257.6,260.89,283.35,223.56,223.87,246.57,186.83
Nottuln                  ,-211.82,13.83,27.63,-38.97,18.24,-14.59,268.59,287.44,220.51,277.66,244.89,292.96,227.29,284.42,278.42,212.68,269.82,288.88,307.29,241.56,298.7,265.94,303.32,237.67,294.8,289.44,223.71,280.85,286.98,221.27,278.4,283.07,301.81,236.14,293.27,260.51,246.07,180.28,237.42,257.49,191.69,248.84,252.46,271.27,229.99,253.6,272.34,231.05,224.99,243.68,202.38,256.87,191.19,248.33,278.68,213.01,270.14,266.4,200.75,257.88,246.34,262.99,196.83,250.7,267.44,201.41,221.71,239.79,173.85,189.04,207.52,141.64
Ostbevern                ,-160.45,80.55,80.6,22.76,80.43,49.71,325.15,333.96,276.81,334.42,303.75,331.78,274.72,332.33,319.17,262.07,319.69,340.09,347.23,290.15,347.76,317.09,341.38,284.35,341.95,332.15,275.07,332.68,329.18,272.11,329.72,332.98,340.4,283.35,340.96,310.29,292.2,232.97,290.59,304.75,245.52,303.14,302.63,310.13,280.04,303.58,311,280.89,275.49,282.89,252.78,295.67,238.62,296.23,317.53,260.48,318.08,304.88,247.84,305.45,309.3,316.2,258.77,311.48,318.03,260.71,281.34,288.38,231.13,246.01,254.49,197.28
Radevormwald             ,-40.43,-33.55,-13.96,-74.39,-18.57,-50.22,154.02,176.51,117.07,172.72,141.22,168.26,104.82,164.62,157.22,97.84,153.48,165.99,188.93,125.47,185.27,153.79,178.32,114.94,170.55,169.01,109.64,165.28,164.42,105.09,160.72,153.84,176.89,113.45,169.07,137.6,129.93,70.49,126.14,140.74,81.26,136.92,123.44,146.6,107.34,126.76,149.94,110.7,97.76,120.86,81.58,131.85,68.4,128.2,153.15,89.68,149.49,141.42,78.04,133.65,161.23,182.39,122.5,152.66,174.28,114.54,115.78,137.71,78.08,77.33,99.49,39.94
Ratingen                 ,70.02,87.06,104.67,39.29,96.35,63.66,297.06,318.7,253.89,310.9,278.25,314.11,247.29,304.28,303.67,238.91,295.91,309.88,331.91,267.16,324.16,291.52,323.34,256.54,313.53,315.06,250.31,307.31,311.43,246.69,303.69,300.4,322.62,255.8,312.8,280.16,275.28,210.49,267.49,287.87,223.08,280.08,269.17,291.43,248.99,271.16,293.38,250.93,242.93,265.12,222.66,277.9,211.08,268.07,299.87,233.05,290.04,286.04,219.23,276.23,298.29,317.51,252.47,293.95,313.7,248.75,259.57,279.66,214.77,222.58,242.91,178.07
Salzkotten               ,63.37,80.13,96.73,30.54,87.71,54.92,294.02,312.71,247,304.14,271.38,305.81,240.17,297.31,296.23,230.56,287.7,303.78,323.86,258.19,315.33,282.57,314.48,248.85,305.98,308,242.33,299.46,303.67,238.02,295.15,294.02,314.26,248.63,305.76,273,268.37,202.68,259.82,280.6,214.91,272.04,262.69,282.98,241.72,264.78,285.03,243.77,236.67,256.89,215.63,269.58,203.94,261.08,291.65,226,283.14,277.44,211.81,268.95,293.15,311.65,245.75,288.99,306.9,241.07,254.56,272.79,207.02,217.44,235.89,170.15
Schleiden                ,-115.62,-116.6,-100.63,-160.91,-105.22,-136.76,58.26,76.51,17.14,72.66,41.27,67.67,8.5,63.98,56.83,-2.48,53.03,69.75,88.45,29.25,84.74,53.38,77.51,18.41,73.88,67.57,8.25,63.76,62.4,3.11,58.61,57.3,76.09,16.93,72.41,41.06,29.1,-30.3,25.23,40.31,-19.12,36.42,26.31,45.19,10.19,30.21,49.14,14.16,1.27,20.11,-14.9,31.16,-28.01,27.48,52.27,-6.93,48.56,40.19,-18.92,36.55,71.55,88.78,28.99,61.14,78.73,19.09,23.02,40.87,-18.67,-16.27,1.76,-57.71
Schwerte                 ,99.88,123.35,144.11,79.46,136.42,103.81,340.1,362.36,298.38,355.27,322.73,356.32,292.43,349.31,345.97,282.03,338.92,349.73,374.44,310.53,367.41,334.87,365.72,301.74,358.62,356.88,292.94,349.83,352.48,288.56,345.44,339.93,364.83,300.95,357.83,325.29,316.47,252.49,309.38,328.28,264.29,321.19,308.65,333.6,293.95,311.41,336.35,296.71,282.87,307.76,268.22,320.08,256.2,313.08,341.93,278.04,334.92,328.33,264.35,321.23,335.87,358.7,294.43,332.09,353.37,289.21,298.15,319.81,255.71,261.51,283.43,219.38
Selm                     ,91.45,112.47,127.07,63.94,114.85,82.96,332.51,348.79,286,336.88,305.01,341.78,279.03,329.91,333.34,270.59,321.47,343.64,360.17,297.41,348.29,316.42,350.03,287.3,338.17,344.55,281.79,332.67,340.17,277.42,328.3,333.48,350.14,287.4,338.27,306.41,305.75,242.98,293.86,318.26,255.49,306.36,299.7,318.49,274.76,303.86,320.51,276.78,276.02,292.66,248.93,305.56,242.82,293.7,327.87,265.13,316.01,312.83,250.1,300.97,330.81,348.05,285.14,327.81,345.52,282.66,293.83,309.74,246.92,256.84,272.94,210.14
Siegen                   ,65.3,76.44,103.23,45.38,100.47,69.43,274.61,303.91,248.17,303.01,272.18,296.32,240.79,295.59,283.61,227.91,282.74,286.24,315.98,260.4,315.21,284.41,306.84,251.38,306.17,297.02,241.37,296.19,292.49,236.87,291.69,274.95,304.85,249.32,304.12,273.33,256.35,200.58,255.43,266.61,210.8,265.65,245.65,275.72,244.27,249.01,279.11,247.67,219.53,249.52,218.03,259.96,204.42,259.22,280.68,225.11,279.91,270.78,215.34,270.13,276.73,304.68,247.21,269,298.26,241,233.25,261.8,205.78,195.62,224.45,168.54
Soest                    ,110.86,135.81,154.49,89.09,146.18,113.46,352.27,375.56,310.73,367.76,335.1,371.06,306.32,363.35,360.87,296.1,353.13,365.57,389.13,324.37,381.4,348.73,380.25,315.53,372.56,371.44,306.67,363.7,367.72,302.96,359.99,355.86,379.6,314.87,371.9,339.23,331.99,267.07,324.1,343.56,278.63,335.66,324.3,348.08,307.72,326.57,350.31,309.95,298.28,322,281.62,334.83,270.1,327.12,356.79,292.06,349.08,342.71,277.99,335.01,351.13,370.88,305.82,347.9,368.21,303.25,314.21,334.88,269.98,275.55,298.59,233.72
Sonsbeck                 ,77.02,96.29,113.16,51.1,101.88,70.1,311.42,332.27,270.67,321.42,289.67,323.49,261.95,312.69,314.05,252.49,303.23,322.25,341.26,279.7,330.44,298.7,332.21,270.68,321.42,325.8,264.24,314.98,321.61,260.06,310.8,312.72,331.91,270.38,321.12,289.38,288.21,224.52,275.26,300.48,236.79,287.53,281.39,300.62,258.09,283.42,302.62,260.08,255.32,274.5,231.96,287.2,225.66,276.4,309.36,247.82,298.56,295.07,233.55,284.29,310.88,329.34,267.55,307.12,326.09,264.37,271.82,292.22,230.56,234.85,255.47,193.84
Straelen                 ,68.78,86.56,105.76,45.05,95.67,64.04,299.24,322.66,262.58,313.14,281.56,314.56,252.44,303,304.48,244.43,294.99,309.32,333.01,272.97,323.53,291.96,323.82,261.73,312.28,317.19,257.15,307.71,313,252.98,303.53,299.22,323.09,260.98,311.53,279.96,277.08,217.01,267.57,289.75,229.68,280.24,268.58,292.52,249.41,270.7,294.6,251.49,242.51,266.38,223.26,278.11,216,266.55,300.17,238.05,288.61,287,224.91,275.47,297.71,319.66,258.21,293.28,314.67,254.41,258.81,280.55,220.36,221.75,243.72,183.58
Suedlohn                 ,84.88,100.36,113.95,63.31,119.73,90.12,302.08,318.98,269.48,325.74,296.27,315.04,263.68,319.9,302.53,253.13,309.37,313.88,331.21,279.75,338.09,306.54,325,273.68,329.9,315.76,264.3,322.64,312.28,260.86,317.09,304.87,323.63,272.28,328.49,299.06,274.55,225.09,281.33,287.41,237.95,294.2,274.87,293.76,269.23,275.97,294.75,270.19,247.67,266.41,241.84,278.69,227.32,283.54,300.49,249.11,305.33,288.45,237.15,293.36,303.2,319.57,268.46,297.24,313.09,263.26,262.12,278.37,228.68,224.85,241.39,191.79
Tecklenburg              ,92.78,112.8,119.71,63.1,120.6,90.03,326.96,338.07,279.97,337.41,306.89,328.88,272.96,330.39,318.41,262.44,319.88,336.96,346.23,290.28,347.71,317.19,337.69,281.78,339.21,331.03,275.08,332.52,326.66,270.72,328.15,327.89,337.38,281.46,338.89,308.38,290.55,234.56,291.99,305.08,246.98,304.42,296.9,306.45,277.46,298.87,308.38,279.38,270.66,280.13,251.13,292.69,236.77,294.2,314.47,258.54,315.97,300.99,245.09,302.52,325.96,334.56,278.31,321.9,331.04,274.89,286.48,297.08,240.98,249.47,260.3,204.25
