agent,activity01,activity02,activity03,activity04,activity05,activity06,activity07,activity08,activity09,activity10,activity11,activity12,activity13,activity14,activity15,activity16,activity17,activity18,activity19,activity20,activity21,activity22,activity23,activity24,activity25,activity26,activity27,activity28,activity29,activity30,activity31,activity32,activity33,activity34,activity35,activity36,activity37,activity38,activity39,activity40,activity41,activity42,activity43,activity44,activity45,activity46,activity47,activity48,activity49,activity50,activity51,activity52,activity53,activity54,activity55,activity56,activity57,activity58,activity59,activity60,activity61,activity62,activity63,activity64,activity65,activity66,activity67,activity68,activity69,activity70,activity71,activity72
Hilden                   ,181.92,214.53,230.95,163.76,221.09,188.16,446.01,466.82,400,457.31,424.4,462.69,395.93,453.23,453.05,386.26,443.57,458.64,479.74,412.96,470.26,437.35,471.19,404.43,461.74,464.76,397.98,455.29,461.11,394.33,451.64,449.81,471.09,404.33,461.63,428.72,424.89,358.09,415.4,438.33,371.53,428.84,418.3,439.62,397.25,419.93,441.2,398.83,392.04,413.29,370.92,426.45,359.68,416.99,448.69,381.92,439.23,433.99,367.23,424.53,442.53,460.09,393.14,439.65,459.86,392.97,407.06,427.61,360.76,370.95,391.72,324.77
Hoevelhof                ,-211.5,113.59,118.34,60.34,118.03,87.29,365.54,373.87,316.52,374.17,343.46,372.43,315.17,372.81,359.17,301.86,359.5,377.94,386.6,329.29,386.94,356.24,381.58,324.33,381.97,373.56,316.27,373.91,370.47,313.2,370.84,372.09,381.05,323.8,381.43,350.74,330.76,273.43,331.08,343.43,286.1,343.74,341.73,350.78,320.47,342.5,351.47,321.15,314.31,323.24,292.92,336.29,279.03,336.66,357.88,300.61,358.25,345.38,288.14,345.78,347.66,354.4,296.79,349.89,358.16,300.65,320.07,328.83,271.39,285.94,295.02,236.53
Holzwickede              ,153.62,178.41,200.79,136.58,193.5,160.93,400.48,425.41,361.91,418.76,386.26,420.75,357.36,414.2,409.26,345.81,402.65,412.99,438.3,374.87,431.71,399.22,430.3,366.93,423.76,421.11,357.67,414.51,416.8,353.38,410.22,403.71,429.22,365.83,422.67,390.18,379.98,316.5,373.34,391.4,327.9,384.75,372.87,398.45,359.42,375.34,400.9,361.87,346.69,372.19,333.15,384.49,321.1,377.94,406.27,342.87,399.71,393.25,329.88,386.72,395.17,419.46,355.66,391.35,417.35,353.67,358.11,384.52,318.8,321.95,346.54,282.98
Hopsten                  ,-43.65,212.28,222.58,165.85,223.42,192.78,431.07,442.69,386.48,444.01,413.41,435.4,379.26,436.78,425.48,369.3,426.83,441.13,453,396.83,454.36,423.77,444.03,387.9,445.43,438.56,382.39,439.92,434.38,378.24,435.76,429.69,443.85,387.71,445.23,414.64,398.74,342.55,400.08,411.39,355.2,412.72,398.82,413.04,383.85,400.37,414.54,385.33,372.52,386.67,357.46,399.22,343.09,400.61,421.25,365.1,422.63,407.49,351.36,408.89,429.07,441.45,385.04,425.56,436.37,380.04,391.39,402.54,346.26,354.36,365.73,309.49
Issum                    ,167.5,199.77,217.54,154.53,205.43,173.55,430.49,451.6,388.96,439.84,407.97,445.88,383.28,434.16,436.43,373.81,424.69,441.88,463.24,400.62,451.51,419.64,454.3,391.58,442.46,448.64,386.02,436.9,444.55,381.94,432.82,432.73,454.26,391.66,442.54,410.67,408.78,346.14,397.03,421.6,358.96,409.85,401.35,422.91,379.21,403.1,424.63,381.04,375.16,396.67,353.08,409.59,346.99,397.87,431.9,369.3,420.18,417.24,354.53,405.41,426.77,446.63,381.75,425.7,443.98,381.26,392.89,411.51,348.82,354.52,375.45,312.79
Juechen                  ,155.34,178.26,205.23,144.41,200.65,168.66,394.76,424.55,364.8,420.9,389.03,419.92,360.33,416.41,407.92,348.23,404.32,407.84,438.1,378.46,434.54,402.7,430.83,371.29,427.35,417.48,357.78,413.87,413.18,353.5,409.59,398.21,428.69,369.11,425.18,393.34,376.08,316.3,372.4,387.63,327.83,383.93,366.82,397.36,362.02,370.81,401.39,366.07,341.51,372.01,336.66,383.78,324.19,380.26,404.85,345.24,401.32,392.57,333.01,389.08,389.22,418.13,357.89,384.24,414.89,354.81,350.5,381.59,319.53,314.21,343.51,283.62
Kirchlengern             ,161.17,191.44,211.24,145.13,202.33,169.51,420.17,441.49,375.88,433.05,400.27,436.96,371.42,428.59,426.88,361.31,418.47,430.49,454.26,388.69,445.85,413.07,445.65,380.12,437.28,438.26,372.69,429.85,434.17,368.62,425.78,421.49,445.44,379.9,437.07,404.29,398.1,332.51,389.67,410.34,344.74,401.91,390.06,414.05,372.9,392,415.96,374.8,363.87,387.8,346.64,400.73,335.18,392.35,422.81,357.27,414.43,408.56,343.03,400.19,414.18,436.19,370.38,412.49,432.97,367.24,379.56,400.41,334.73,343.38,364.47,298.83
Lengerich                ,131.96,155.74,165.26,108.99,166.45,135.91,376.42,388.53,332.89,390.3,359.81,382.18,326.63,384.03,371.3,315.7,373.1,386.83,399.22,343.63,401.03,370.55,391.12,335.59,392.98,384.04,328.45,385.85,379.79,324.21,381.61,377,390.71,335.16,392.56,362.08,343.18,287.55,344.95,355.59,299.96,357.36,346.11,359.89,331.26,348.01,361.74,333.11,319.75,333.45,304.81,346,290.45,347.84,367.73,312.18,369.57,354.47,298.94,356.33,372.09,383.78,327.88,368.88,380.05,324.25,335.12,346.66,290.93,298.48,310.27,254.58
Leverkusen               ,180.45,210.64,236.69,174.44,231.1,198.77,434.26,465.61,404.31,460.87,428.63,459.87,398.69,455.23,448.45,387.2,443.75,446.86,478.63,417.41,473.96,441.73,470.42,409.28,465.82,460.03,398.79,455.34,456.29,395.07,451.62,436.8,468.75,407.58,464.12,431.89,419.21,357.9,414.46,431.08,369.65,426.21,406.33,438.37,401.53,409.16,441.19,404.35,380.45,412.42,375.57,423.57,362.39,418.93,445.29,384.1,440.65,433.22,372.08,428.62,426.54,453.96,392.23,423.9,451.99,390.41,390.86,419.4,357.92,352.84,383.8,322.38
Lippetal                 ,-233.65,81.11,96.62,29.96,87.2,54.34,335.64,355.97,289.99,347.17,314.37,357.28,291.41,348.59,344.11,278.19,335.37,352.3,372.03,306.12,363.3,330.5,367.07,301.21,358.39,355.4,289.49,346.67,352.69,286.79,343.97,345.93,365.94,300.08,357.26,324.46,313.75,246.69,303.88,325.82,258.76,315.95,314.92,334.99,293.51,316.38,336.39,294.91,287.92,307.9,266.4,321.12,255.24,312.43,342.85,276.98,334.16,329.88,264.03,321.21,315.18,333.47,267.21,318.98,337.3,271.15,289.25,308.87,242.79,255.89,275.86,209.83
Lotte                    ,130.65,154.47,163.34,106.73,164.25,133.66,375.41,386.79,330.78,388.25,357.7,380.69,324.76,382.22,370.16,314.19,371.65,386.22,397.9,341.94,399.4,368.86,389.58,333.66,391.11,382.83,326.87,384.33,378.81,322.86,380.32,376.23,389.22,333.3,390.75,360.22,342.7,286.7,344.17,354.99,298.99,356.46,345.3,358.36,329.36,346.96,359.96,330.95,318.93,331.91,302.9,344.59,288.66,346.12,366.41,310.48,367.93,352.93,297.01,354.47,371.81,382.84,326.59,368.69,379.19,323.03,334.91,345.78,289.68,298.2,309.32,253.26
Luedinghausen            ,158.43,185.15,203.75,141.15,192.01,160.16,415.47,435.4,373.21,424.05,392.22,429.49,367.35,418.18,420.3,358.14,408.97,427.01,447.22,385.07,435.9,404.07,437.91,375.78,426.61,431.95,369.79,420.62,427.69,365.54,416.37,415.43,437.9,375.77,426.59,394.77,392.42,330.25,381.08,404.95,342.77,393.6,383.98,406.5,363.37,385.87,408.34,365.21,357.95,380.41,337.27,393.28,331.14,381.97,415.53,353.39,404.22,400.89,338.76,389.59,409.86,430.59,368.24,408.31,429.59,365.2,375.28,394.79,332.55,338.91,358.64,296.43
Marienmuenster           ,96.67,116.44,139.35,80.54,136.21,104.7,314.31,344.25,286.58,342.07,310.72,342.8,284.31,339.75,329.09,270.44,325.91,330.35,361.76,303.21,358.67,327.34,351.84,294.5,349.94,338.63,279.95,336.53,333.78,275.13,330.6,319.77,351.36,292.87,348.31,317,298.45,240.8,296.28,307.55,249.84,305.33,288.57,319.13,285.89,292.27,322.87,289.65,262.89,294.48,260.12,306.52,248.03,303.47,327.24,268.72,324.16,314.61,257.27,312.71,316.46,344.82,286.66,310.57,339.52,281.54,275.57,304.93,247.07,238.46,268.11,210.35
Mechernich               ,17.18,31.19,51.82,-10.43,45.96,13.84,229.64,253.49,187.93,244.19,212.18,243.26,182.03,238.27,236.49,171,227.25,242.57,262.71,201.45,257.69,225.7,253.49,192.31,248.54,246.28,180.77,237.03,241.88,176.39,232.64,231.58,251.87,190.65,246.89,214.9,206.82,141.25,197.51,217.4,151.8,212.25,200.06,220.4,183.44,203.73,224.1,187.15,174.74,195.03,158.06,207,145.78,202.02,228.35,167.11,223.35,215.41,154.22,210.45,232.52,254.93,193.15,225.76,248.68,187.04,190.09,213.35,151.81,152.45,175.97,114.5
Meerbusch                ,142.03,167.58,187.3,125.65,176.39,144.65,390.71,414.72,351.48,402.18,370.47,408.3,347.24,397.94,398.19,337.1,387.8,403.47,425.73,364.64,415.34,383.63,417.44,356.39,407.08,409.59,348.5,399.2,405.96,344.89,395.58,394.37,416.82,355.76,406.45,374.75,369.44,308.32,359.02,382.57,321.45,372.15,363.11,385.6,343.54,365.03,387.48,345.42,336.88,359.3,317.24,372.08,311.03,361.72,394.25,333.19,383.88,380.13,319.08,369.77,387.21,408.71,347.37,384.87,406.93,345.68,350.54,374.08,312.87,314.24,338.02,276.85
Mettmann                 ,192.66,225.53,247.76,182.86,239.91,207.23,452.46,479.58,415.32,472.31,439.68,478.04,413.88,470.86,467.27,403.07,460.05,468.2,495.82,431.63,488.62,455.99,487.63,423.49,480.48,477.8,413.6,470.58,474.79,410.61,467.59,458.75,486.56,422.41,479.39,446.77,438.04,373.81,430.8,449.81,385.58,442.57,427.5,455.35,415.57,429.39,457.19,417.4,401.13,428.9,389.11,441.8,377.64,434.63,463.86,399.7,456.69,450.01,385.87,442.85,447.74,471.31,406.79,444.23,470.53,406.12,411.72,438.32,373.97,375.96,402.84,338.54
Moenchengladbach         ,161.01,189.79,214.94,151.76,208.52,176.09,414.08,441.24,378.9,435.57,403.23,435.51,373.28,429.94,424.74,362.46,419.12,425.99,453.52,391.26,447.92,415.58,445.66,383.46,440.12,435.27,372.98,429.64,431.02,368.75,425.42,414.32,444.16,381.94,438.6,406.26,394.14,331.79,388.46,406.13,343.78,400.45,383.16,413.06,375.17,386.32,416.23,378.34,357.53,387.38,349.48,399.26,337.04,393.69,420.93,358.69,415.35,407.96,345.76,402.42,405.31,432.76,370.04,402.5,428.47,365.89,369.29,395.69,333.2,333.22,359.92,297.49
Nettetal                 ,157.9,183.21,208.13,148.6,199.11,167.59,408.75,435.63,376.88,427.32,395.86,428.41,369.75,420.18,417.48,358.76,409.2,419.56,446.75,388.06,438.49,407.04,438.21,379.57,429.99,430.37,371.67,422.1,426.37,367.69,418.12,409.69,437.06,378.41,428.84,397.39,389.48,330.74,381.17,401.91,343.16,393.6,379.46,406.93,367.27,381.68,409.12,369.45,353.38,380.78,341.11,391.97,333.31,383.74,413.86,355.19,405.62,401.59,342.95,393.38,401.29,427.41,368.32,397.53,425.38,364.3,364.29,390.44,331.55,328.09,354.53,295.69
Nottuln                  ,-123.72,138.35,157.4,91.61,148.75,115.99,369.17,391.02,325.83,382.92,350.2,389.21,324.12,381.2,378.23,313.1,370.19,382.85,406.24,341.12,398.21,365.49,398.34,331.16,390.34,389.23,324.1,381.19,385.49,320.38,377.46,374.18,397.78,332.7,389.78,357.07,348.71,283.54,340.64,360.54,295.37,352.46,342.92,366.57,325.86,344.72,368.32,327.61,316.51,340.08,299.36,353.05,287.96,345.04,375.09,310,367.08,361.27,294.09,351.17,361.53,382.92,317.48,360.44,381.35,316.01,328.1,349.42,284.15,292.43,314.03,248.8
Ostbevern                ,-55.62,202.52,211.83,154.75,212.36,181.69,425.62,436.35,379.79,437.36,406.73,430.48,373.99,431.56,420.57,364.05,421.62,437.07,448.09,391.58,449.15,418.52,439.19,382.72,440.28,432.9,376.38,433.95,428.89,372.39,429.95,427.71,438.92,382.44,440,409.37,393.12,336.58,394.15,405.7,349.16,406.73,394.56,407.93,378.39,398.3,409.51,379.96,370.41,381.6,352.05,394.31,337.83,395.39,416.37,359.88,417.45,402.41,345.94,403.5,422.02,433.48,376.72,419.33,431.34,372.56,385.71,395.97,339.35,349.05,359.54,302.95
Radevormwald             ,6.9,17.93,40.43,-19.01,36.64,5.13,210.83,236.52,178.18,233.64,202.3,229.29,171.15,226.57,217.56,159.28,214.73,223.63,249.82,191.65,247.08,215.77,239.68,177.42,232.83,229.43,171.17,226.62,225.01,166.78,222.22,211.67,237.97,175.66,235.26,199.77,189.93,131.59,187.05,200.55,142.17,197.63,181.48,207.91,169.75,184.84,211.29,173.14,155.68,182.04,143.86,192.87,134.72,190.15,214.05,155.88,211.31,202.82,140.57,195.98,215.59,239.82,180.98,207.86,232.58,173.91,171.56,196.63,138.08,133.53,158.85,100.39
Ratingen                 ,171.76,202.35,224.63,160.12,217.1,184.48,425.17,452.41,388.58,445.49,412.93,450.22,386.5,443.41,438.76,374.88,431.79,439.65,467.35,403.48,460.38,427.83,459.89,396.18,453.09,450.24,386.36,443.26,447.08,383.21,440.12,431,458.81,395.1,452,419.45,409.56,345.75,402.66,422.13,358.32,415.23,399.99,427.86,388.51,401.79,429.62,390.25,373.43,401.21,361.84,414.03,350.3,407.21,435.91,372.18,429.09,422.59,358.89,415.79,421.67,445.25,381.14,419.61,443.82,379.82,386.74,411.36,347.43,350.79,375.68,311.8
Salzkotten               ,136.04,159.82,178.89,113.19,170.33,137.57,382.79,406.23,341.08,398.18,365.46,398.68,333.61,390.7,390.53,323.32,380.41,394.55,416.21,351.11,408.2,375.49,407.57,342.51,399.6,402.4,335.19,392.28,396.21,331.12,388.21,385.33,407.18,342.11,399.2,366.49,362.18,297.04,354.13,374.35,309.21,366.3,354.15,376.05,335.36,356.12,377.98,337.28,327.93,349.76,309.06,362.46,297.39,354.48,384.47,319.4,376.49,370.58,305.52,362.6,378.92,399.81,334.44,376.37,397.83,332.55,341.88,364.81,299.58,305.45,328.63,263.44
Schleiden                ,-68.33,-65.33,-46.33,-105.41,-49.94,-81.28,114.33,135.89,77.84,133.12,101.94,128.19,70.37,125.61,116.55,58.57,113.84,126.76,148.82,90.97,146.21,115.06,138.4,80.65,135.87,127.26,69.27,124.54,122.22,64.25,119.52,114.5,136.66,78.84,134.08,102.94,88.36,30.28,85.57,99.39,41.28,96.57,83.69,105.94,72.26,87.7,110.01,76.36,58.58,80.8,47.1,91.66,33.83,89.07,112.6,54.74,109.99,101.07,43.32,98.55,125.46,145.87,87.35,115.81,136.62,78.27,78.23,99.33,41.09,39.33,60.64,2.49
Schwerte                 ,153.79,178.6,201,136.79,193.71,161.14,401.33,426.31,362.83,419.67,387.17,421.26,357.88,414.71,410.41,346.98,403.82,413.72,439.07,375.65,432.49,400,430.87,367.51,424.35,421.32,357.89,414.73,417.07,353.65,410.49,404.26,429.81,366.43,423.27,390.78,380.46,316.98,373.83,392.2,328.72,385.56,373.07,398.68,359.65,375.82,401.41,362.39,347.19,372.73,333.7,385.03,321.65,378.48,406.82,343.44,400.27,393.47,330.11,386.95,395.31,419.62,355.83,391.49,417.51,353.83,358.25,384.68,318.97,322.1,346.7,283.15
Selm                     ,169.04,201.42,219.94,157.18,208.06,176.19,432.04,454,391.62,442.47,410.63,448.53,386.08,436.93,439.53,377.18,428.03,444.17,466.41,404.07,454.92,423.08,456.85,394.53,445.38,450.77,388.42,439.27,446.63,384.29,435.15,434.53,456.92,394.48,445.33,413.49,411.44,349.07,399.93,423.92,361.56,412.41,402.96,425.27,381.95,404.89,427.28,383.84,377,399.37,355.93,412.32,349.87,400.73,434.61,372.16,423.02,419.67,357.34,408.2,427.94,446.49,383.96,426.82,445.91,383.44,394.02,413.45,351.03,355.69,377.44,315.04
Siegen                   ,103.03,121.6,146.57,90.36,145.29,114.39,319.8,352.81,296.93,351.59,320.91,344.82,290.26,344.88,332.65,276.82,331.47,331.94,365.42,309.72,364.34,333.7,355.58,301.1,355.71,346.22,290.44,345.08,341.81,286.06,340.69,320.84,353.38,298.83,353.45,322.81,305.17,249.26,303.93,315.28,259.32,315.09,291.74,324.48,293.98,295.14,327.89,297.4,265.52,298.16,267.62,308.45,253.89,308.51,329.05,274.46,329.08,319.61,265.15,319.75,319.95,350.39,294.94,313.63,344.65,289.42,278.34,309.77,254.69,241.03,272.76,217.79
Soest                    ,174.41,205.47,227.08,162.16,219.2,186.52,430.6,457.18,392.89,449.88,417.25,454.1,389.91,446.89,443.31,379.08,436.07,444.87,471.76,407.55,464.53,431.91,463.53,399.36,456.34,453.96,389.61,446.6,450.37,386.16,443.14,435.61,462.69,398.51,455.49,422.87,413.91,349.53,406.52,425.36,361.09,418.08,404.14,431.26,391.45,406.33,433.42,393.6,377.96,405.02,365.19,417.88,353.7,410.67,439.79,375.6,432.58,425.97,361.79,418.77,425.93,448.83,384.28,424.09,447.6,383.15,391.3,415.22,350.84,353.26,379.56,315.23
Sonsbeck                 ,167.26,199.07,220.82,159.35,210.09,178.35,426.17,451.66,390.73,441.42,409.73,446.86,385.89,436.58,436.59,375.7,426.39,438.13,463.93,403.05,453.74,422.05,455.87,394.91,445.6,448.46,387.58,438.27,444.59,383.72,434.41,429.33,455.33,394.37,445.06,413.36,407.99,347.08,397.77,420.2,359.29,409.98,398.18,424.23,382.27,400.05,426.07,384.1,371.86,397.84,355.87,410.56,349.6,400.28,432.67,371.7,422.39,418.77,357.81,408.5,421.3,445.29,382.04,419.64,442.11,381.06,386.81,409.67,348.67,350.75,373.86,312.89
Straelen                 ,155.42,181.48,204.86,144.91,195.46,163.9,406.16,432.19,372.97,423.45,391.94,425.61,366.48,416.96,414.67,355.49,405.97,417.18,443.52,384.35,434.84,403.33,435.24,376.13,426.6,427.64,368.47,418.95,423.75,364.6,415.08,407.68,434.21,375.08,425.56,394.06,386.75,327.53,378.02,399.42,340.2,390.69,377.31,403.93,363.79,379.3,405.88,365.73,351,377.55,337.4,389.15,330.01,380.49,411.14,352,402.48,398.5,339.39,389.86,399.52,424.86,365.33,395.85,422.9,363.48,362.6,387.96,328.61,326.37,352,292.7
Suedlohn                 ,155.36,177.12,194.92,145.61,201.84,172.39,385.96,408.62,358.49,414.54,385.26,404.34,356.58,412.58,392.91,342.9,398.93,398.74,421.88,371.91,427.93,398.68,414.67,366.96,422.96,406.43,356.46,412.48,401.17,353.36,409.37,391.58,412.99,365.24,421.24,392,364.44,314.35,370.39,377.33,327.25,383.28,361.87,383.43,362.49,362.74,384.18,363.2,334.34,355.73,334.74,367.97,320.21,376.21,389.69,341.92,397.93,378.22,330.53,386.53,384.5,404.23,355.64,379.85,400.24,351.85,345.65,366.48,318.24,309.03,330.19,282.04
Tecklenburg              ,136.74,160.98,170.73,114.49,171.95,141.41,382.32,394.69,339.09,396.5,366.01,388.43,332.93,390.32,377.5,321.94,379.34,391.69,405.43,349.89,407.28,376.8,397.39,341.9,399.29,390.25,334.71,392.11,386.01,330.49,387.88,382.99,396.96,341.46,398.85,368.38,349.35,293.76,351.16,361.75,306.17,363.57,352.11,366.15,337.57,354.01,368,339.41,325.74,339.7,311.11,352.25,296.74,354.14,373.98,318.47,375.86,360.74,305.25,362.64,377.72,389.66,333.8,374.62,386.03,330.28,340.92,352.72,297.03,304.32,316.37,260.73
