,activity1,activity2,activity3
Hallenberg,activity23,NA,NA
Gevelsberg,activity25,NA,NA
Havixbeck,activity25,NA,NA
Petershagen,activity62,NA,NA
WertherWestf,activity23,NA,NA
Kleve,activity19,NA,NA
Verl,activity25,NA,NA
HerzebrockClarholz,activity21,NA,NA
Ibbenbueren,activity25,NA,NA
Erkrath,activity62,NA,NA
Lennestadt,activity22,NA,NA
OerErkenschwick,activity61,NA,NA
Huenxe,activity23,NA,NA
Lienen,activity25,NA,NA
Noervenich,activity23,NA,NA
Erndtebrueck,activity25,NA,NA
Marsberg,activity23,NA,NA
Everswinkel,activity22,NA,NA
Euskirchen,activity62,NA,NA
BadLippspringe,activity23,NA,NA
Huertgenwald,activity23,NA,NA
Plettenberg,activity23,NA,NA
Kalletal,activity22,NA,NA
GronauWestf,activity22,NA,NA
Herten,activity61,NA,NA
Doerentrup,activity22,NA,NA
Welver,activity24,NA,NA
Nideggen,activity23,NA,NA
Geilenkirchen,activity22,NA,NA
Raesfeld,activity22,NA,NA
Versmold,activity65,NA,NA
Pulheim,activity25,NA,NA
Laer,activity62,NA,NA
Breckerfeld,activity61,NA,NA
Westerkappeln,activity22,NA,NA
Velbert,activity23,NA,NA
SundernSauerland,activity22,NA,NA
Linnich,activity25,NA,NA
Detmold,activity24,NA,NA
Rosendahl,activity62,NA,NA
Espelkamp,activity21,NA,NA
BedburgHau,activity23,NA,NA
Paderborn,activity23,NA,NA
Beverungen,activity24,NA,NA
SanktAugustin,activity21,NA,NA
Niederzier,activity24,NA,NA
Elsdorf,activity19,NA,NA
Isselburg,activity25,NA,NA
EmmerichamRhein,activity21,NA,NA
Wachtberg,activity23,NA,NA
BadMuenstereifel,activity19,NA,NA
Heiden,activity65,NA,NA
Wiehl,activity61,NA,NA
Netphen,activity62,NA,NA
Huellhorst,activity19,NA,NA
Bedburg,activity65,NA,NA
Huerth,activity25,NA,NA
Hilchenbach,activity22,NA,NA
Inden,activity21,NA,NA
Schmallenberg,activity61,NA,NA
Hueckelhoven,activity62,NA,NA
Ennigerloh,activity21,NA,NA
Zuelpich,activity21,NA,NA
Olfen,activity21,NA,NA
Ense,activity19,NA,NA
Nordwalde,activity19,NA,NA
Warendorf,activity19,NA,NA
Sendenhorst,activity19,NA,NA
Witten,activity19,NA,NA
Willebadessen,activity22,NA,NA
Grevenbroich,activity21,NA,NA
Freudenberg,activity22,NA,NA
Stadtlohn,activity62,NA,NA
Bueren,activity19,NA,NA
Duelmen,activity19,NA,NA
Rheinberg,activity24,NA,NA
Morsbach,activity62,NA,NA
BadSassendorf,activity65,NA,NA
Geldern,activity61,NA,NA
Lage,activity23,NA,NA
Burbach,activity25,NA,NA
Guetersloh,activity65,NA,NA
Schwelm,activity19,NA,NA
Frechen,activity19,NA,NA
Unna,activity24,NA,NA
PreussischOldendorf,activity61,NA,NA
Anroechte,activity21,NA,NA
BadOeynhausen,activity24,NA,NA
Saerbeck,activity62,NA,NA
Blankenheim,activity19,NA,NA
Korschenbroich,activity65,NA,NA
Kreuzau,activity19,NA,NA
Bergneustadt,activity23,NA,NA
Kirchhundem,activity25,NA,NA
Halver,activity21,NA,NA
Arnsberg,activity62,NA,NA
VoerdeNiederrhein,activity19,NA,NA
Langenberg,activity25,NA,NA
Alpen,activity23,NA,NA
Warburg,activity21,NA,NA
Niederkruechten,activity62,NA,NA
Langerwehe,activity61,NA,NA
Recklinghausen,activity22,NA,NA
SchlossHolteStukenbrock,activity61,NA,NA
Kreuztal,activity23,NA,NA
Ennepetal,activity61,NA,NA
Erwitte,activity19,NA,NA
Selfkant,activity19,NA,NA
BadBerleburg,activity62,NA,NA
Schermbeck,activity61,NA,NA
Luebbecke,activity19,NA,NA
Sprockhoevel,activity24,NA,NA
Meinerzhagen,activity19,NA,NA
Hattingen,activity21,NA,NA
Olsberg,activity21,NA,NA
Kall,activity21,NA,NA
Blomberg,activity24,NA,NA
BadLaasphe,activity22,NA,NA
NeunkirchenSeelscheid,activity62,NA,NA
Schalksmuehle,activity62,NA,NA
Dortmund,activity65,NA,NA
Neunkirchen,activity19,NA,NA
Boenen,activity19,NA,NA
Rietberg,activity22,NA,NA
KampLintfort,activity65,NA,NA
Kranenburg,activity19,NA,NA
Willich,activity21,NA,NA
Drensteinfurt,activity22,NA,NA
Minden,activity19,NA,NA
Moehnesee,activity23,NA,NA
Hemer,activity23,NA,NA
BadHonnef,activity62,NA,NA
Reichshof,activity65,NA,NA
Juelich,activity19,NA,NA
Borchen,activity22,NA,NA
Hiddenhausen,activity65,NA,NA
Nuembrecht,activity19,NA,NA
MonheimamRhein,activity62,NA,NA
NeukirchenVluyn,activity61,NA,NA
Rheinbach,activity21,NA,NA
HennefSieg,activity23,NA,NA
Swisttal,activity23,NA,NA
Lohmar,activity23,NA,NA
Weilerswist,activity22,NA,NA
Borgentreich,activity62,NA,NA
PortaWestfalica,activity25,NA,NA
Merzenich,activity23,NA,NA
Brilon,activity61,NA,NA
Kaarst,activity23,NA,NA
Marl,activity61,NA,NA
Dorsten,activity21,NA,NA
Oerlinghausen,activity23,NA,NA
Grefrath,activity62,NA,NA
Nettersheim,activity65,NA,NA
Rhede,activity65,NA,NA
Altena,activity61,NA,NA
WetterRuhr,activity62,NA,NA
BadDriburg,activity23,NA,NA
Ruppichteroth,activity23,NA,NA
Siegburg,activity24,NA,NA
Hagen,activity23,NA,NA
Herscheid,activity61,NA,NA
Altenbeken,activity65,NA,NA
Meckenheim,activity19,NA,NA
Reken,activity24,NA,NA
Leopoldshoehe,activity25,NA,NA
Wegberg,activity23,NA,NA
Dueren,activity21,NA,NA
Ladbergen,activity19,NA,NA
Neuenkirchen,activity25,NA,NA
Lindlar,activity22,NA,NA
Kempen,activity21,NA,NA
Legden,activity61,NA,NA
Rommerskirchen,activity21,NA,NA
Hueckeswagen,activity65,NA,NA
Wadersloh,activity25,NA,NA
Bornheim,activity25,NA,NA
Waldbroel,activity23,NA,NA
Telgte,activity65,NA,NA
Dormagen,activity21,NA,NA
Nordkirchen,activity65,NA,NA
Niederkassel,activity61,NA,NA
Balve,activity61,NA,NA
Billerbeck,activity22,NA,NA
Altenberge,activity23,NA,NA
Heiligenhaus,activity61,NA,NA
Ochtrup,activity24,NA,NA
Velen,activity61,NA,NA
Wassenberg,activity21,NA,NA
Harsewinkel,activity22,NA,NA
Erftstadt,activity62,NA,NA
Rees,activity22,NA,NA
Heek,activity22,NA,NA
Hoexter,activity21,NA,NA
Vlotho,activity61,NA,NA
Aldenhoven,activity23,NA,NA
EsloheSauerland,activity23,NA,NA
Dahlem,activity24,NA,NA
Gescher,activity19,NA,NA
Wachtendonk,activity65,NA,NA
Herne,activity21,NA,NA
HalternamSee,activity24,NA,NA
Toenisvorst,activity22,NA,NA
Moers,activity25,NA,NA
Schlangen,activity62,NA,NA
Meschede,activity21,NA,NA
Dinslaken,activity61,NA,NA
Kerpen,activity62,NA,NA
Koenigswinter,activity19,NA,NA
Kierspe,activity25,NA,NA
Marienheide,activity65,NA,NA
Winterberg,activity22,NA,NA
Aachen,activity22,NA,NA
Alsdorf,activity62,NA,NA
Baesweiler,activity24,NA,NA
Eschweiler,activity21,NA,NA
Herzogenrath,activity62,NA,NA
Monschau,activity23,NA,NA
Roetgen,activity24,NA,NA
Simmerath,activity24,NA,NA
StolbergRhld,activity19,NA,NA
Vreden,activity19,NA,NA
Wuerselen,activity25,NA,NA
