,latitude,longitude,byear,education,memory,beta_l,beta_s,beta_p,reference_income,aspiration,tolerance_income,tolerance_activity,lambda,alpha_plus,alpha_minus,phi_plus,phi_minus,fuzzy_size
Hellenthal,0,0,1981,5,5,1,0.5,1,423.0864,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
UebachPalenberg,0,0,1981,10,5,1,0.5,1,309.1328,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Bestwig,0,0,1981,11,5,1,0.5,1,487.9832,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Lengerich,0,0,1981,12,5,1,0.5,1,499.4552,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Radevormwald,0,0,1981,11,5,1,0.5,1,510.1656,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Siegen,0,0,1981,7,5,1,0.5,1,531.2904,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Soest,0,0,1981,7,5,1,0.5,1,301.5048,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Issum,0,0,1981,11,5,1,0.5,1,389.8584,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Waltrop,0,0,1981,14,5,1,0.5,1,483.752,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
CastropRauxel,0,0,1981,11,5,1,0.5,1,512.0768,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Nettetal,0,0,1981,6,5,1,0.5,1,461.292,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
BadSalzuflen,0,0,1981,12,5,1,0.5,1,505.0104,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Rahden,0,0,1981,8,5,1,0.5,1,401.7808,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Steinfurt,0,0,1981,13,5,1,0.5,1,383.6776,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Lemgo,0,0,1981,7,5,1,0.5,1,476.9928,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Hoerstel,0,0,1981,9,5,1,0.5,1,435.5432,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Nieheim,0,0,1981,10,5,1,0.5,1,544.6728,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Steinheim,0,0,1981,9,5,1,0.5,1,323.2,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Ruethen,0,0,1981,11,5,1,0.5,1,386.468,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
BadWuennenberg,0,0,1981,14,5,1,0.5,1,523.2392,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Vettweiss,0,0,1981,10,5,1,0.5,1,444.3376,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Luenen,0,0,1981,6,5,1,0.5,1,219.7448,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Bochum,0,0,1981,10,5,1,0.5,1,492.7536,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Delbrueck,0,0,1981,5,5,1,0.5,1,539.8592,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Gangelt,0,0,1981,11,5,1,0.5,1,441.7024,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Kerken,0,0,1981,12,5,1,0.5,1,505.7312,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Horstmar,0,0,1981,9,5,1,0.5,1,489.8808,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Barntrup,0,0,1981,7,5,1,0.5,1,508.144,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Ascheberg,0,0,1981,5,5,1,0.5,1,502.812,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Wenden,0,0,1981,11,5,1,0.5,1,524.9264,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Drolshagen,0,0,1981,5,5,1,0.5,1,388.94,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Geseke,0,0,1981,12,5,1,0.5,1,443.98,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Kevelaer,0,0,1981,6,5,1,0.5,1,482.876,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Hille,0,0,1981,13,5,1,0.5,1,497.528,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Heinsberg,0,0,1981,13,5,1,0.5,1,426.1352,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Goch,0,0,1981,13,5,1,0.5,1,506.044,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Neuenrade,0,0,1981,7,5,1,0.5,1,505.632,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Loehne,0,0,1981,7,5,1,0.5,1,469.0128,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Windeck,0,0,1981,14,5,1,0.5,1,346.8016,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Mettingen,0,0,1981,13,5,1,0.5,1,582.1984,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Muenster,0,0,1981,7,5,1,0.5,1,388.8016,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Alfter,0,0,1981,12,5,1,0.5,1,391.0936,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Rheurdt,0,0,1981,6,5,1,0.5,1,524.5376,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Rheine,0,0,1981,7,5,1,0.5,1,437.5272,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Augustdorf,0,0,1981,9,5,1,0.5,1,519.0784,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Stemwede,0,0,1981,7,5,1,0.5,1,541.8904,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Troisdorf,0,0,1981,7,5,1,0.5,1,357.7952,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
LangenfeldRhld,0,0,1981,8,5,1,0.5,1,503.0016,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Extertal,0,0,1981,7,5,1,0.5,1,502.2176,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Metelen,0,0,1981,6,5,1,0.5,1,401.1536,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Wipperfuerth,0,0,1981,10,5,1,0.5,1,457.3144,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Schoeppingen,0,0,1981,9,5,1,0.5,1,428.6152,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Uedem,0,0,1981,7,5,1,0.5,1,428.5584,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
FroendenbergRuhr,0,0,1981,10,5,1,0.5,1,516.6384,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Coesfeld,0,0,1981,6,5,1,0.5,1,443.724,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Kalkar,0,0,1981,11,5,1,0.5,1,510.3976,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Sassenberg,0,0,1981,10,5,1,0.5,1,431.3624,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Viersen,0,0,1981,8,5,1,0.5,1,510.6192,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Buende,0,0,1981,14,5,1,0.5,1,479.18,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Oelde,0,0,1981,6,5,1,0.5,1,456.4752,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
SchiederSchwalenberg,0,0,1981,9,5,1,0.5,1,477.5576,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Spenge,0,0,1981,10,5,1,0.5,1,502.1208,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Wesel,0,0,1981,12,5,1,0.5,1,454.2976,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
WickedeRuhr,0,0,1981,13,5,1,0.5,1,486.4616,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Steinhagen,0,0,1981,14,5,1,0.5,1,476.5032,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Bielefeld,0,0,1981,6,5,1,0.5,1,514.2976,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Olpe,0,0,1981,12,5,1,0.5,1,508.8544,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Werdohl,0,0,1981,6,5,1,0.5,1,467.3864,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Kamen,0,0,1981,6,5,1,0.5,1,519.0008,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Emsdetten,0,0,1981,10,5,1,0.5,1,513.3688,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Brakel,0,0,1981,9,5,1,0.5,1,501.2392,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Roedinghausen,0,0,1981,9,5,1,0.5,1,270.4128,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Xanten,0,0,1981,12,5,1,0.5,1,535.6264,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Haan,0,0,1981,8,5,1,0.5,1,499.5704,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
HalleWestf,0,0,1981,6,5,1,0.5,1,348.3,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Gladbeck,0,0,1981,6,5,1,0.5,1,498.2552,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Heimbach,0,0,1981,7,5,1,0.5,1,441.0968,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Beelen,0,0,1981,5,5,1,0.5,1,371.472,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Medebach,0,0,1981,8,5,1,0.5,1,491.4352,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
NachrodtWiblingwerde,0,0,1981,11,5,1,0.5,1,460.572,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
HornBadMeinberg,0,0,1981,6,5,1,0.5,1,504.3904,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Warstein,0,0,1981,5,5,1,0.5,1,536.0288,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Luegde,0,0,1981,10,5,1,0.5,1,515.5192,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Luedenscheid,0,0,1981,11,5,1,0.5,1,520.428,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Schwalmtal,0,0,1981,12,5,1,0.5,1,486.472,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Gummersbach,0,0,1981,14,5,1,0.5,1,504.76,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Ahlen,0,0,1981,11,5,1,0.5,1,342.1056,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Senden,0,0,1981,7,5,1,0.5,1,483.3632,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Werne,0,0,1981,9,5,1,0.5,1,239.4336,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Iserlohn,0,0,1981,11,5,1,0.5,1,460.4856,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Titz,0,0,1981,9,5,1,0.5,1,462.1424,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Enger,0,0,1981,11,5,1,0.5,1,490.2184,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Herford,0,0,1981,11,5,1,0.5,1,575.3328,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Recke,0,0,1981,13,5,1,0.5,1,543.968,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Finnentrop,0,0,1981,9,5,1,0.5,1,394.66,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Waldfeucht,0,0,1981,12,5,1,0.5,1,475.7,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
RhedaWiedenbrueck,0,0,1981,6,5,1,0.5,1,498.6088,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Brueggen,0,0,1981,10,5,1,0.5,1,478.3536,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Erkelenz,0,0,1981,6,5,1,0.5,1,545.9992,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Weeze,0,0,1981,8,5,1,0.5,1,365.6688,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Wilnsdorf,0,0,1981,9,5,1,0.5,1,485.3776,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Datteln,0,0,1981,6,5,1,0.5,1,499.1304,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Borken,0,0,1981,7,5,1,0.5,1,517.388,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Bergkamen,0,0,1981,9,5,1,0.5,1,387.3088,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Oberhausen,0,0,1981,12,5,1,0.5,1,497.052,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Wettringen,0,0,1981,12,5,1,0.5,1,526.9896,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Attendorn,0,0,1981,6,5,1,0.5,1,534.9368,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Herdecke,0,0,1981,10,5,1,0.5,1,474.0992,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Bergheim,0,0,1981,10,5,1,0.5,1,488.7456,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Much,0,0,1981,7,5,1,0.5,1,513.0768,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Eitorf,0,0,1981,13,5,1,0.5,1,369.88,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Neuss,0,0,1981,6,5,1,0.5,1,566.6144,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
MendenSauerland,0,0,1981,6,5,1,0.5,1,503.3944,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Wuelfrath,0,0,1981,8,5,1,0.5,1,279.2416,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Lippstadt,0,0,1981,7,5,1,0.5,1,497.6376,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Lichtenau,0,0,1981,5,5,1,0.5,1,515.5296,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Hallenberg,0,0,1981,7,5,1,0.5,1,478.896,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Gevelsberg,0,0,1981,14,5,1,0.5,1,484.032,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Havixbeck,0,0,1981,7,5,1,0.5,1,497.9072,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Petershagen,0,0,1981,14,5,1,0.5,1,443.3208,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
WertherWestf,0,0,1981,11,5,1,0.5,1,515.5048,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Kleve,0,0,1981,10,5,1,0.5,1,484.948,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Verl,0,0,1981,7,5,1,0.5,1,517.6336,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
HerzebrockClarholz,0,0,1981,6,5,1,0.5,1,525.7408,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Ibbenbueren,0,0,1981,6,5,1,0.5,1,293.152,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Erkrath,0,0,1981,12,5,1,0.5,1,490.012,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Lennestadt,0,0,1981,7,5,1,0.5,1,523.3352,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
OerErkenschwick,0,0,1981,8,5,1,0.5,1,490.1032,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Huenxe,0,0,1981,12,5,1,0.5,1,506.3424,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Lienen,0,0,1981,12,5,1,0.5,1,441.6072,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Noervenich,0,0,1981,10,5,1,0.5,1,472.2168,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Erndtebrueck,0,0,1981,11,5,1,0.5,1,471.9592,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Marsberg,0,0,1981,9,5,1,0.5,1,348.2248,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Everswinkel,0,0,1981,8,5,1,0.5,1,376.4056,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Euskirchen,0,0,1981,6,5,1,0.5,1,557.6128,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
BadLippspringe,0,0,1981,11,5,1,0.5,1,517.8896,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Huertgenwald,0,0,1981,6,5,1,0.5,1,484.0048,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Plettenberg,0,0,1981,13,5,1,0.5,1,513.8328,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Kalletal,0,0,1981,6,5,1,0.5,1,490.5128,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
GronauWestf,0,0,1981,13,5,1,0.5,1,435.5408,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Herten,0,0,1981,15,5,1,0.5,1,430.3792,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Doerentrup,0,0,1981,5,5,1,0.5,1,510.3376,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Welver,0,0,1981,13,5,1,0.5,1,486.7064,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Nideggen,0,0,1981,11,5,1,0.5,1,524.1208,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Geilenkirchen,0,0,1981,12,5,1,0.5,1,559.4048,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Raesfeld,0,0,1981,11,5,1,0.5,1,473.4384,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Versmold,0,0,1981,10,5,1,0.5,1,385.5688,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Pulheim,0,0,1981,14,5,1,0.5,1,454.6448,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Laer,0,0,1981,14,5,1,0.5,1,553.9136,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Breckerfeld,0,0,1981,9,5,1,0.5,1,483.5096,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Westerkappeln,0,0,1981,11,5,1,0.5,1,398.8216,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Velbert,0,0,1981,9,5,1,0.5,1,563.9208,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
SundernSauerland,0,0,1981,6,5,1,0.5,1,478.8,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Linnich,0,0,1981,10,5,1,0.5,1,331.0488,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Detmold,0,0,1981,5,5,1,0.5,1,514.5648,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Rosendahl,0,0,1981,9,5,1,0.5,1,324.9768,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Espelkamp,0,0,1981,13,5,1,0.5,1,498.6944,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
BedburgHau,0,0,1981,8,5,1,0.5,1,316.816,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Paderborn,0,0,1981,6,5,1,0.5,1,558.7448,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Beverungen,0,0,1981,9,5,1,0.5,1,564.4176,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
SanktAugustin,0,0,1981,7,5,1,0.5,1,465.036,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Niederzier,0,0,1981,8,5,1,0.5,1,502.268,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Elsdorf,0,0,1981,13,5,1,0.5,1,530.488,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Isselburg,0,0,1981,7,5,1,0.5,1,436.5904,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
EmmerichamRhein,0,0,1981,11,5,1,0.5,1,488.1088,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Wachtberg,0,0,1981,9,5,1,0.5,1,451.5856,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
BadMuenstereifel,0,0,1981,10,5,1,0.5,1,501.0128,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Heiden,0,0,1981,8,5,1,0.5,1,208.384,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Wiehl,0,0,1981,13,5,1,0.5,1,485.8824,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Netphen,0,0,1981,7,5,1,0.5,1,480.2328,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Huellhorst,0,0,1981,14,5,1,0.5,1,405.9144,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Bedburg,0,0,1981,8,5,1,0.5,1,368.3288,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Huerth,0,0,1981,11,5,1,0.5,1,478.1328,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Hilchenbach,0,0,1981,7,5,1,0.5,1,299.8008,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Inden,0,0,1981,10,5,1,0.5,1,498.8504,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Schmallenberg,0,0,1981,10,5,1,0.5,1,395.628,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Hueckelhoven,0,0,1981,7,5,1,0.5,1,459.548,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Ennigerloh,0,0,1981,8,5,1,0.5,1,507.6216,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Zuelpich,0,0,1981,10,5,1,0.5,1,435.34,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Olfen,0,0,1981,9,5,1,0.5,1,537.4592,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Ense,0,0,1981,12,5,1,0.5,1,486.5496,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Nordwalde,0,0,1981,5,5,1,0.5,1,530.7936,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Warendorf,0,0,1981,13,5,1,0.5,1,528.1448,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
