,latitude,longitude,byear,education,memory,beta_l,beta_s,beta_p,reference_income,aspiration,tolerance_income,tolerance_activity,lambda,alpha_plus,alpha_minus,phi_plus,phi_minus,fuzzy_size
Werl,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Wesseling,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Tecklenburg,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Mettmann,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Bocholt,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Schleiden,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Ratingen,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Meerbusch,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Hellenthal,0,0,1981,5,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
UebachPalenberg,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Bestwig,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Lengerich,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Radevormwald,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Siegen,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Soest,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Issum,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Waltrop,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
CastropRauxel,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Nettetal,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
BadSalzuflen,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Rahden,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Steinfurt,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Lemgo,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Hoerstel,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Nieheim,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Steinheim,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Ruethen,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
BadWuennenberg,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Vettweiss,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Luenen,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Bochum,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Delbrueck,0,0,1981,5,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Gangelt,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Kerken,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Horstmar,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Barntrup,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Ascheberg,0,0,1981,5,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Wenden,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Drolshagen,0,0,1981,5,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Geseke,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Kevelaer,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Hille,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Heinsberg,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Goch,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Neuenrade,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Loehne,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Windeck,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Mettingen,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Muenster,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Alfter,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Rheurdt,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Rheine,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Augustdorf,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Stemwede,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Troisdorf,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
LangenfeldRhld,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Extertal,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Metelen,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Wipperfuerth,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Schoeppingen,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Uedem,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
FroendenbergRuhr,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Coesfeld,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Kalkar,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Sassenberg,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Viersen,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Buende,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Oelde,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
SchiederSchwalenberg,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Spenge,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Wesel,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
WickedeRuhr,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Steinhagen,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Bielefeld,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Olpe,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Werdohl,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Kamen,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Emsdetten,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Brakel,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Roedinghausen,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Xanten,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Haan,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
HalleWestf,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Gladbeck,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Heimbach,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Beelen,0,0,1981,5,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Medebach,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
NachrodtWiblingwerde,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
HornBadMeinberg,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Warstein,0,0,1981,5,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Luegde,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Luedenscheid,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Schwalmtal,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Gummersbach,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Ahlen,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Senden,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Werne,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Iserlohn,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Titz,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Enger,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Herford,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Recke,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Finnentrop,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Waldfeucht,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
RhedaWiedenbrueck,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Brueggen,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Erkelenz,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Weeze,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Wilnsdorf,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Datteln,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Borken,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Bergkamen,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Oberhausen,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Wettringen,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Attendorn,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Herdecke,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Bergheim,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Much,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Eitorf,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Neuss,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
MendenSauerland,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Wuelfrath,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Lippstadt,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Lichtenau,0,0,1981,5,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Hallenberg,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Gevelsberg,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Havixbeck,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Petershagen,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
WertherWestf,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Kleve,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Verl,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
HerzebrockClarholz,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Ibbenbueren,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Erkrath,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Lennestadt,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
OerErkenschwick,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Huenxe,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Lienen,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Noervenich,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Erndtebrueck,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Marsberg,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Everswinkel,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Euskirchen,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
BadLippspringe,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Huertgenwald,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Plettenberg,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Kalletal,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
GronauWestf,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Herten,0,0,1981,15,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Doerentrup,0,0,1981,5,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Welver,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Nideggen,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Geilenkirchen,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Raesfeld,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Versmold,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Pulheim,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Laer,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Breckerfeld,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Westerkappeln,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Velbert,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
SundernSauerland,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Linnich,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Detmold,0,0,1981,5,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Rosendahl,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Espelkamp,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
BedburgHau,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Paderborn,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Beverungen,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
SanktAugustin,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Niederzier,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Elsdorf,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Isselburg,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
EmmerichamRhein,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Wachtberg,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
BadMuenstereifel,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Heiden,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Wiehl,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Netphen,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Huellhorst,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Bedburg,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Huerth,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Hilchenbach,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Inden,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Schmallenberg,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Hueckelhoven,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Ennigerloh,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Zuelpich,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Olfen,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Ense,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Nordwalde,0,0,1981,5,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Warendorf,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Sendenhorst,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Witten,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Willebadessen,0,0,1981,5,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Grevenbroich,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Freudenberg,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Stadtlohn,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Bueren,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Duelmen,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Rheinberg,0,0,1981,5,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Morsbach,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
BadSassendorf,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Geldern,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Lage,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Burbach,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Guetersloh,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Schwelm,0,0,1981,5,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Frechen,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Unna,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
PreussischOldendorf,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Anroechte,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
BadOeynhausen,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Saerbeck,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Blankenheim,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Korschenbroich,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Kreuzau,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Bergneustadt,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Kirchhundem,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Halver,0,0,1981,15,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Arnsberg,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
VoerdeNiederrhein,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Langenberg,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Alpen,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Warburg,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Niederkruechten,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Langerwehe,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Recklinghausen,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
SchlossHolteStukenbrock,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Kreuztal,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Ennepetal,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Erwitte,0,0,1981,5,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Selfkant,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
BadBerleburg,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Schermbeck,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Luebbecke,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Sprockhoevel,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Meinerzhagen,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Hattingen,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Olsberg,0,0,1981,5,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Kall,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Blomberg,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
BadLaasphe,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
NeunkirchenSeelscheid,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Schalksmuehle,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Dortmund,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Neunkirchen,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Boenen,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Rietberg,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
KampLintfort,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Kranenburg,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Willich,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Drensteinfurt,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Minden,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Moehnesee,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Hemer,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
BadHonnef,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Reichshof,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Juelich,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Borchen,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Hiddenhausen,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Nuembrecht,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
MonheimamRhein,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
NeukirchenVluyn,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Rheinbach,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
HennefSieg,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Swisttal,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Lohmar,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Weilerswist,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Borgentreich,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
PortaWestfalica,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Merzenich,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Brilon,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Kaarst,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
