,income_t-1,income_t-2,income_t-3,income_t-4,income_t-5
Lennestadt,843.09,553.64,715.36,864.31,469.68
OerErkenschwick,800.54,429.6,676.11,846.22,471.88
Huenxe,859.64,461.15,682.52,866.72,476.49
Lienen,792.84,363.76,618.22,811.8,376.31
Noervenich,761.5,479.62,674.06,836.28,426.21
Erndtebrueck,744.67,439.55,679.11,817.04,445.98
Marsberg,586.87,369.43,448.74,593.72,286.55
Everswinkel,648.7,400.86,465.94,597.33,315.31
Euskirchen,918.71,665.19,793.41,866.52,458.05
BadLippspringe,753.83,410.81,733.32,916.7,471.46
Huertgenwald,808.6,468.62,687.2,837.47,459.98
Plettenberg,845.73,473.33,684.89,863.93,512.93
Kalletal,712.02,390.33,681.2,876.38,461.29
GronauWestf,674.12,409.19,604.25,833.22,453.11
Herten,746.88,463.61,545.93,691.04,389.74
Doerentrup,812.75,548.78,708.89,860.3,472.5
Welver,780.45,489.81,659.04,763.4,451.97
Nideggen,840.07,595.29,724.12,822.68,447.9
Geilenkirchen,899.11,714.37,744.31,893.42,499.68
Raesfeld,833.65,392.41,612.88,798.13,425.75
Versmold,591.42,319.78,531.69,727.12,410.23
Pulheim,708.11,450.09,609.45,706.48,435.39
Laer,883.24,640.05,778.52,854.77,491.75
Breckerfeld,763.83,547.69,660.05,798.67,449.25
Westerkappeln,680.4,446.21,501.8,601.69,330.43
Velbert,899.96,671.84,794.89,883.42,494.7
SundernSauerland,859.53,405.53,612.57,821.03,414.44
Linnich,518.84,378.47,436.99,603.1,275.58
Detmold,812.1,601.6,718.44,858.8,465.59
Rosendahl,571.6,300.64,424.71,570.7,284.14
Espelkamp,791.57,415.01,699.63,908.82,486.25
BedburgHau,599.75,443.12,585.17,636.37,285.34
Paderborn,879.12,684.54,730.2,860.95,500.17
Beverungen,915.76,663.82,795.04,888.69,490.98
SanktAugustin,814.33,376.78,648.68,823.86,434.73
Niederzier,777.18,567.09,670.43,768.98,490.45
Elsdorf,836.78,592.41,719.97,842.59,483.09
Isselburg,723.67,478.06,564.23,715.03,413.91
EmmerichamRhein,749.96,466.82,650.61,802.83,453.13
Wachtberg,725.13,536.9,648.65,733.23,395.09
BadMuenstereifel,814.96,519.5,674.12,835.56,432.4
Heiden,347.57,204.63,261.75,395.42,143.46
Wiehl,754.3,591.44,687.98,757.6,439.65
Netphen,774.35,455.34,613.31,809.84,455.53
Huellhorst,625.21,463.52,543.19,709.06,376.28
Bedburg,584.01,393.53,496.72,698.73,363.16
Huerth,760.87,515.76,619.74,844.41,449.91
Hilchenbach,518.24,386.89,406.58,505.05,243.07
Inden,833.43,429.97,704.79,856.81,475.97
Schmallenberg,647.01,445.61,521.41,657.9,334.45
Hueckelhoven,751.43,506.58,571.21,733.77,439.18
Ennigerloh,801.02,495.04,750.62,899.12,502.54
Zuelpich,715.67,498.35,548.02,698.92,385.89
Olfen,865.56,549.45,712.47,847.47,519.57
Ense,773.48,550.32,625.5,785.19,462.58
Nordwalde,912.06,484.93,680.2,881.94,537.67
Warendorf,842.16,603.18,730.94,859.63,466.64
Sendenhorst,775.98,518.12,604.59,762.34,416.81
Witten,810.12,440.02,629.85,843.52,460.43
Willebadessen,797.11,392.89,660.36,822.84,461.88
Grevenbroich,641.23,245.77,449.21,616.88,256.78
Freudenberg,476.07,279.59,413.48,541.95,299.42
Stadtlohn,757.06,422.9,558.71,768.25,434.47
Bueren,836.1,481.42,662.62,820.18,489.91
Duelmen,757.9,451.74,658.34,792.25,412.95
Rheinberg,777.1,484.81,599.91,794.22,449.11
Morsbach,689.85,461.37,531.75,657.01,381.43
BadSassendorf,484.8,329.31,378.81,568.14,290.68
Geldern,813.12,440.78,645.95,877.73,449.95
Lage,759.61,452.46,647.5,777.55,444.07
Burbach,773.61,524.57,591.84,739.87,419.83
Guetersloh,769.25,391.8,654.09,786.84,443.01
Schwelm,770.99,453.99,588.38,752.03,407.05
Frechen,829.26,434.88,649.6,812.33,472.44
Unna,789.33,403.68,632.18,815.75,465.29
PreussischOldendorf,566.22,362.26,495.9,734.15,389.7
Anroechte,815.6,418.3,706.74,807.92,418.03
BadOeynhausen,767.01,396.76,631.15,842.34,437.41
Saerbeck,714.84,421.62,634.51,830.37,420.63
Blankenheim,752.73,608.25,689.63,759.75,440.81
Korschenbroich,749.44,475.21,681.11,876.52,457.15
Kreuzau,743.49,481.83,630.76,789.62,425.38
Bergneustadt,836.68,523.6,706.81,821.21,471.14
Kirchhundem,735.74,459.04,612.09,734.41,447.31
Halver,821.65,451.79,649.88,822.27,484.22
Arnsberg,761.23,322.33,571.78,806.94,414.26
VoerdeNiederrhein,762.67,402.71,607.1,733.54,428.3
Langenberg,700.46,516.91,638.99,733.47,364.86
Alpen,765.08,446.2,617.35,792.63,434.19
Warburg,754.33,540.15,636.07,771.31,415.48
Niederkruechten,788.29,471.63,670.64,824.37,467.47
Langerwehe,715.84,493.55,571.59,702.88,389.2
Recklinghausen,657.59,424.28,494.99,647.03,350.07
SchlossHolteStukenbrock,831.34,573.3,735.88,860.67,485.4
Kreuztal,665.53,468.53,550.89,686.82,358.15
Ennepetal,736.85,494.32,623.56,720.84,326.72
Erwitte,763.98,514.66,586.82,733.5,407.97
Selfkant,839.04,587.5,738.24,873.1,467.2
BadBerleburg,811.49,599.38,676.6,770.74,463.45
Schermbeck,895.18,446.66,710.14,883.66,420.48
Luebbecke,502.9,291.74,387.16,526.72,269.34
Sprockhoevel,734.82,433.99,641.54,797.58,430.21
Meinerzhagen,761.21,491.72,607.24,757.96,394.53
Hattingen,843.35,428.97,673.41,841.91,505.4
Olsberg,796.85,579.18,686.32,832.01,489.89
Kall,793.8,460.27,637.2,830.56,434.64
Blomberg,720.24,386.87,690.06,848.82,445.98
BadLaasphe,653.66,365.18,504.25,679.94,369.17
NeunkirchenSeelscheid,696.21,400.12,569.09,714.23,395.02
Schalksmuehle,807.47,596.72,696.23,813.17,422.77
Dortmund,707.82,420.93,652.14,799.14,452.74
Neunkirchen,728.6,500.15,617,835.93,419.18
Boenen,758.13,378.42,652.54,814.43,418.03
Rietberg,750.54,473.42,651.86,801.72,445.43
KampLintfort,813.1,387.61,653.84,827.85,433.72
Kranenburg,857.19,622.72,697.89,821.67,471.03
Willich,929.66,675.34,782.81,881.64,490.39
Drensteinfurt,570.63,333.66,448.44,644.15,361.75
Minden,878.81,480.32,669.46,876.06,490.55
Moehnesee,663.66,392.5,570.84,658.16,395.11
Hemer,641.14,451.22,548.28,680.64,355.42
BadHonnef,822.96,445.6,630.23,791.12,470.85
Reichshof,790.91,513.85,688.71,843.94,486.45
Juelich,788.9,572.77,668.18,782.39,466.81
Borchen,883.5,474.98,745.51,872.55,476.53
Hiddenhausen,843.79,603,736.34,846.66,458.22
Nuembrecht,722.51,457.88,577.55,735.66,434.3
MonheimamRhein,707.13,418.87,603.4,765.83,436.08
NeukirchenVluyn,798.96,641.88,723.25,813.24,490.99
Rheinbach,609.93,419.14,496.79,640.97,342.73
HennefSieg,380.3,241.17,299.29,477.18,238.89
Swisttal,684.08,473.72,573.68,699.3,377.76
Lohmar,544.61,356.94,398.02,511.93,267.86
Weilerswist,732.59,470.91,630.36,718.67,445.36
Borgentreich,830.07,450.08,661,893.05,467.09
PortaWestfalica,849.51,493.1,662.75,838.98,518.03
Merzenich,881.76,537.7,682.3,894.58,503.9
Brilon,821.72,460.43,726.65,886.47,448.38
Kaarst,820.81,533.25,680.37,852.34,464.88
Marl,707.01,409.11,626.88,775.69,403.2
Dorsten,647.95,448.31,627.69,722.05,347.76
Oerlinghausen,763.4,345.59,625.3,774.44,383.35
Grefrath,765.26,398.59,551.74,704.4,376.49
Nettersheim,383.67,201.86,280.82,478.48,232.63
Rhede,862.66,603.8,698.64,872.96,468.51
Altena,772.66,411.98,675.4,840.6,446.37
WetterRuhr,905.56,679.59,783,893.38,459.56
BadDriburg,790.76,423.45,589.97,789.66,450.11
Ruppichteroth,765.57,457.24,627.9,774.16,431.26
Siegburg,797.67,521.25,668.89,794.51,482.48
Hagen,769.17,539.03,654.01,781.94,419.07
Herscheid,752.5,582.61,677.25,743.18,428.25
Altenbeken,742.11,480.02,606.78,739.7,399.18
Meckenheim,572.25,315.77,506.95,717.56,400.72
Reken,842.58,520.8,701,883.14,476.52
Leopoldshoehe,753.26,468.94,641.87,780.97,436.73
Wegberg,716.63,467.04,528.19,654.5,362.9
Dueren,689.73,463.27,593.51,775.5,392.62
Ladbergen,759.97,551.12,661.7,800.11,473.27
Neuenkirchen,768.76,489.58,695.14,824.12,453.51
Lindlar,829.28,511.11,683.25,897.52,508.36
Kempen,806.03,468.89,662.5,841.31,454
Legden,853.56,410.72,724.19,862.26,435.87
Rommerskirchen,773.21,369.24,679.93,916.77,470.71
Hueckeswagen,801.36,430.21,701.14,868.42,489.46
Wadersloh,791.81,502.2,637.16,817.95,423.63
Bornheim,880.04,441.48,686.26,911.54,531.65
Waldbroel,732.51,471.03,646.18,770.42,449.46
Telgte,845.03,606.34,699.58,808.37,457.16
Dormagen,855.53,646.08,760.5,861.98,480.23
Nordkirchen,678.85,432.31,621.57,826.1,406.32
Niederkassel,826.7,469.49,670.32,877.85,464.08
Balve,826.13,626.5,733.99,828.83,480.66
Billerbeck,826.7,442.02,714.71,884.6,502.1
Altenberge,782.2,442.26,619.69,774.5,447.2
Heiligenhaus,807.4,491.8,637,858.65,467.83
Ochtrup,865.99,522.1,708.19,896.64,477.76
Velen,834.74,641.12,709.5,844.15,426.95
Wassenberg,782.62,420.81,593.73,790.28,448.22
Harsewinkel,772.58,430.19,630.76,837.94,397.14
Erftstadt,798.93,489.55,639.19,798.74,411.83
Rees,659.36,481.75,571.79,740.32,373.63
Heek,728.39,490.29,659.13,758.53,386.95
Hoexter,747.45,501.18,610.04,734.82,399.13
Vlotho,767.77,384.04,662.1,859.27,415.49
Aldenhoven,699.13,379.58,638.78,801.73,451.08
EsloheSauerland,796.44,430.32,639.24,855.95,455.18
Dahlem,648.19,460.9,527.7,749.07,344.98
Gescher,795.36,511.25,655.09,807.45,391.26
Wachtendonk,692.38,428.35,536.44,696.04,352.7
Herne,779.15,484.19,600.75,772.47,446.56
HalternamSee,895.4,586.72,718.4,899.1,501.02
Toenisvorst,780.09,531.28,657.46,830.85,426.47
Moers,895.11,686.02,770.02,895.47,499.4
Schlangen,791.9,403.66,689.58,867.49,481.88
Meschede,794.33,398.44,677.7,765.53,389.09
Dinslaken,819.64,595.79,683.49,813.83,507.94
Kerpen,722.42,399.97,583.66,753.5,417.9
Koenigswinter,774.45,472.43,643.02,756.09,476.84
Kierspe,875.36,599.1,671.08,843.35,516.3
Marienheide,665.94,372.7,525.4,673.31,376.5
Winterberg,644.02,482.06,570.44,721.9,393.43
Aachen,824.22,470.99,688.83,861.71,474.87
Alsdorf,758.42,466.03,584.62,735.35,400.13
Baesweiler,764.37,370.66,552.56,701.07,434.25
Eschweiler,520.51,362.32,363.2,493.91,236.03
Herzogenrath,466.32,273.84,355.4,481.12,227.07
Monschau,820.77,486.67,638,871.19,472.86
Roetgen,903.69,465,680.1,906.28,543.84
Simmerath,734.82,328.33,639.93,899.02,454.53
StolbergRhld,831.11,433.32,610.95,812,488.93
Vreden,745.51,370.17,658.2,823.67,451.45
Wuerselen,644.81,453.86,565.16,792.75,382.71
