;Ahaus;Beckum;Bruehl;Hoevelhof;Hopsten;Lippetal;Nottuln;Ostbevern;Greven;Hamm;Hamminkeln;Mechernich;Moenchengladbach;Salzkotten;Selm;Lotte;Holzwickede;Juechen;Luedinghausen;Hilden;Borgholzhausen;Kirchlengern;Marienmuenster;Sonsbeck;Straelen;Wuppertal;Suedlohn;Leverkusen;Schwerte;Engelskirchen;Werl;Wesseling;Tecklenburg;Mettmann;Bocholt;Schleiden;Ratingen;Meerbusch;Hellenthal;"""Uebach-Palenberg""";Bestwig;Lengerich;Radevormwald;Siegen;Soest;Issum;Waltrop;"""Castrop-Rauxel""";Nettetal;"""BadSalzuflen"""
Bestwig;1;0;0;1;0;0;0;1;1;1;0;0;0;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;1;0;0;1;1;1;0;0;0;1;1;0;1;0;0;0;1
Lengerich;0;0;0;0;1;0;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0
Radevormwald;1;0;1;0;1;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0;1;0;1;0;0;0;1;1;0;0;1;1;0;1;0;1
Siegen;0;1;1;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;1;1;1;0;0;0
Soest;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;1;1;1;1;1;1;0;0;0;1;0;0;1;0;1;1;1;1;0;0;0;1;1;0;1;0;0;1;1;0;1;0;1;1;1
Issum;0;1;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1;0;1;0;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;1;1;0
Waltrop;1;1;0;1;0;1;0;0;0;0;1;1;1;0;0;1;0;1;1;0;1;0;0;0;1;1;1;1;1;1;0;0;1;0;0;1;1;0;1;1;0;1;0;1;0;1;0;1;1;1
Castrop-Rauxel;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;1;0;0;0;1;0;1;1;1;0;1;0
Nettetal;0;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;1;1;0;1
BadSalzuflen;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;1;0;1;1;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0
