Municipality,GMAverage,Pre-Sow-Herbicide,Post-Sow-Herbicide
Meinerzhagen,      722.22,spre5       ,spost18
Hattingen   ,      927.03,spre5       ,spost1
Olsberg     ,      690.31,spre5       ,spost1
Kall        ,      598.36,spre5       ,spost1
Blomberg    ,      865.92,spre5       ,spost1
BadLaasphe  ,      715.25,spre5       ,spost1
NeunkirchenS,      929.25,spre5       ,spost14
Schalksmuehl,      822.84,spre5       ,spost1
Dortmund    ,      835.41,spre3       ,spost1
Neunkirchen ,      786.87,spre5       ,spost1
Boenen      ,      822.11,spre3       ,spost1
Rietberg    ,      862.02,spre5       ,spost1
KampLintfort,      875.00,spre3       ,spost36
Kranenburg  ,      811.98,spre3       ,spost1
Willich     ,      942.30,spre5       ,spost12
Drensteinfur,      688.78,spre3       ,spost7
Minden      ,      820.08,spre5       ,spost1
Moehnesee   ,      775.67,spre5       ,spost1
Hemer       ,      797.24,spre5       ,spost1
BadHonnef   ,      846.44,spre5       ,spost37
Reichshof   ,      727.28,spre5       ,spost1
Juelich     ,      834.64,spre5       ,spost1
Borchen     ,      532.97,spre5       ,spost1
Hiddenhausen,      775.48,spre3       ,spost1
Nuembrecht  ,      880.14,spre5       ,spost1
MonheimamRhe,      737.26,spre1       ,spost1
NeukirchenVl,      812.28,spre3       ,spost1
Rheinbach   ,      772.98,spre5       ,spost1
HennefSieg  ,      828.33,spre5       ,spost1
Swisttal    ,      745.46,spre5       ,spost1
Lohmar      ,      801.47,spre5       ,spost1
Weilerswist ,      713.38,spre5       ,spost1
Borgentreich,      675.71,spre5       ,spost1
PortaWestfal,      838.16,spre3       ,spost1
Merzenich   ,      886.51,spre5       ,spost1
Brilon      ,      738.57,spre5       ,spost1
Kaarst      ,      896.23,spre5       ,spost1
Marl        ,      840.77,spre3       ,spost1
Dorsten     ,      839.78,spre3       ,spost1
Oerlinghause,      849.08,spre5       ,spost14
Grefrath    ,      949.93,spre3       ,spost3
Nettersheim ,      600.17,spre5       ,spost1
Rhede       ,      822.56,spre5       ,spost1
Altena      ,      829.53,spre5       ,spost1
WetterRuhr  ,      763.58,spre3       ,spost1
BadDriburg  ,      832.24,spre5       ,spost5
Ruppichterot,      875.24,spre5       ,spost1
Siegburg    ,      809.20,spre3       ,spost1
Hagen       ,      873.91,spre5       ,spost1
Herscheid   ,      768.49,spre5       ,spost39
Altenbeken  ,      617.28,spre5       ,spost1
Meckenheim  ,      898.08,spre5       ,spost18
Reken       ,      817.65,spre3       ,spost1
Leopoldshoeh,      936.78,spre5       ,spost22
Wegberg     ,      827.20,spre5       ,spost1
Dueren      ,      899.39,spre5       ,spost1
Ladbergen   ,      838.45,spre5       ,spost1
Neuenkirchen,      842.31,spre5       ,spost21
Lindlar     ,      634.33,spre5       ,spost1
Kempen      ,      925.90,spre3       ,spost54
Legden      ,      804.94,spre5       ,spost1
Rommerskirch,      866.65,spre5       ,spost1
Hueckeswagen,      665.54,spre5       ,spost1
Wadersloh   ,      814.61,spre5       ,spost21
Bornheim    ,      766.70,spre5       ,spost1
Waldbroel   ,      856.61,spre5       ,spost1
Telgte      ,      802.41,spre5       ,spost1
Dormagen    ,      791.98,spre3       ,spost1
Nordkirchen ,      812.26,spre3       ,spost39
Niederkassel,      896.99,spre5       ,spost13
Balve       ,      789.91,spre5       ,spost1
Billerbeck  ,      762.78,spre3       ,spost1
Altenberge  ,      774.76,spre5       ,spost1
Heiligenhaus,      961.18,spre5       ,spost1
Ochtrup     ,      863.14,spre5       ,spost1
Velen       ,      826.21,spre5       ,spost1
Wassenberg  ,      847.14,spre5       ,spost13
Harsewinkel ,      806.21,spre5       ,spost1
Erftstadt   ,      794.11,spre5       ,spost16
Rees        ,      844.83,spre3       ,spost1
Heek        ,      900.36,spre5       ,spost1
Hoexter     ,      818.47,spre5       ,spost1
Vlotho      ,      946.54,spre5       ,spost36
Aldenhoven  ,      855.24,spre5       ,spost1
EsloheSauerl,      664.60,spre5       ,spost1
Dahlem      ,      551.77,spre5       ,spost14
Gescher     ,      817.97,spre5       ,spost1
Wachtendonk ,      829.55,spre3       ,spost1
Herne       ,      902.11,spre3       ,spost1
HalternamSee,      899.18,spre3       ,spost18
Toenisvorst ,      853.36,spre3       ,spost1
Moers       ,      832.52,spre3       ,spost1
Schlangen   ,      657.38,spre5       ,spost1
Meschede    ,      741.94,spre5       ,spost1
Dinslaken   ,      985.71,spre5       ,spost22
Kerpen      ,      823.87,spre5       ,spost36
Koenigswinte,      836.97,spre5       ,spost1
Kierspe     ,      622.68,spre5       ,spost1
Marienheide ,      394.87,spre5       ,spost1
Winterberg  ,      597.09,spre5       ,spost14
Aachen      ,      842.36,spre5       ,spost1
Alsdorf     ,      903.65,spre5       ,spost21
Baesweiler  ,      871.62,spre5       ,spost1
Eschweiler  ,      920.34,spre5       ,spost1
Herzogenrath,      829.97,spre5       ,spost1
Monschau    ,      656.65,spre5       ,spost1
Roetgen     ,      795.26,spre5       ,spost1
Simmerath   ,      630.13,spre5       ,spost1
StolbergRhld,      758.93,spre5       ,spost1
Vreden      ,      817.29,spre5       ,spost1
Wuerselen   ,      827.06,spre5       ,spost1
