"","activity01","activity02","activity03","activity04","activity05","activity06","activity07","activity08","activity09","activity10","activity11","activity12","activity13","activity14","activity15","activity16","activity17","activity18","activity19","activity20","activity21","activity22","activity23","activity24","activity25","activity26","activity27","activity28","activity29","activity30","activity31","activity32","activity33","activity34","activity35","activity36","activity37","activity38","activity39","activity40","activity41","activity42","activity43","activity44","activity45","activity46","activity47","activity48","activity49","activity50","activity51","activity52","activity53","activity54","activity55","activity56","activity57","activity58","activity59","activity60","activity61","activity62","activity63","activity64","activity65","activity66","activity67","activity68","activity69","activity70","activity71","activity72"
"Hamminkeln",4,4,4,3,3,3,4,2,4,1,2,3,5,4,3,5,3,1,4,5,1,3,4,2,1,4,2,4,4,3,3,3,2,2,4,0,3,4,4,1,3,5,2,4,4,1,2,2,4,1,2,5,3,5,0,2,3,2,1,1,2,1,1,4,2,4,4,3,3,5,2,2
"Mechernich",1,5,3,4,2,3,3,3,3,3,2,3,4,1,2,5,2,4,1,3,4,2,4,2,4,4,2,2,4,2,4,5,4,3,5,3,2,4,1,0,1,2,1,1,4,4,5,4,2,2,4,3,4,3,3,4,2,3,0,1,2,3,2,2,2,1,4,3,3,3,3,1
"Moenchengladbach",4,2,1,3,3,1,3,3,2,2,1,0,4,0,4,2,3,3,3,4,3,4,5,1,4,3,2,4,3,3,3,1,2,5,1,1,3,2,3,1,3,2,3,5,4,3,3,4,1,0,3,1,4,1,2,1,4,5,2,4,3,4,4,2,2,3,1,2,4,2,2,2
"Salzkotten",4,3,2,3,3,5,2,1,2,2,2,3,2,4,1,0,4,5,2,4,5,3,4,3,3,1,4,2,4,4,2,4,4,2,2,4,3,2,3,4,2,4,3,3,2,5,4,1,1,4,3,3,3,2,1,3,1,5,3,1,2,2,2,2,1,2,4,2,3,3,3,4
"Selm",0,3,1,4,4,4,3,4,1,1,3,3,4,3,4,1,0,4,4,3,0,3,1,4,3,1,3,0,3,1,4,5,1,2,3,3,4,1,0,1,2,5,1,2,2,3,5,2,0,5,4,4,2,2,2,3,5,5,3,1,2,2,5,2,3,4,0,4,3,1,2,1
"Lotte",4,2,5,3,4,1,3,1,3,5,2,4,1,3,3,4,3,4,1,3,4,2,3,3,0,2,2,3,5,4,4,2,3,2,1,2,4,2,3,4,2,1,2,1,0,1,4,5,2,2,1,5,2,3,2,4,1,3,3,0,4,3,1,2,4,1,0,1,1,4,4,2
"Holzwickede",4,3,4,3,2,2,3,3,3,3,3,4,0,3,2,1,4,4,4,2,2,3,1,1,3,5,2,1,2,2,3,2,4,5,3,2,3,0,3,5,2,4,0,1,5,3,4,4,5,4,2,3,3,3,2,3,0,4,4,4,5,4,3,3,0,1,5,4,2,5,3,3
"Juechen",4,4,2,1,3,4,2,3,3,3,5,2,2,2,3,4,4,3,2,3,4,4,4,3,3,2,4,3,3,0,3,2,4,2,3,1,2,3,1,1,2,2,3,0,2,3,1,2,1,3,3,5,4,4,1,4,5,2,4,1,4,3,2,2,4,1,2,1,2,5,3,5
"Luedinghausen",3,4,2,1,2,1,5,3,5,3,3,3,3,3,2,3,3,3,3,1,3,4,4,3,1,2,3,4,2,4,1,3,5,4,1,3,2,2,5,3,4,4,5,2,3,5,1,3,5,4,3,4,2,1,1,2,1,2,4,3,3,4,3,1,3,3,2,2,4,2,3,4
"Hilden",2,3,4,2,1,3,1,2,4,5,4,3,1,4,3,4,5,4,1,3,3,4,3,0,2,4,4,1,3,1,3,2,2,3,2,5,4,3,4,1,3,3,3,4,4,4,4,3,3,1,3,1,3,4,2,3,2,4,2,4,4,4,2,3,1,1,2,4,2,4,5,4
"Borgholzhausen",1,2,3,3,0,5,3,3,4,2,2,1,4,0,4,3,1,2,3,0,4,3,4,4,2,3,3,3,3,5,1,3,1,1,4,3,3,1,2,1,2,1,4,4,4,2,3,2,5,4,1,2,2,4,3,4,2,3,2,2,4,5,3,4,0,3,3,3,2,1,4,1
"Kirchlengern",3,1,4,4,4,2,4,3,4,4,5,4,1,0,5,0,3,2,2,3,2,2,3,4,2,0,2,1,1,0,2,3,3,1,5,0,5,2,4,2,2,5,1,3,4,4,2,1,1,3,5,3,5,1,2,3,0,1,3,2,3,4,2,4,2,4,5,0,3,2,2,1
"Marienmuenster",4,5,3,1,1,3,3,3,3,4,2,4,0,2,3,3,3,2,4,1,3,1,4,1,5,1,1,3,4,0,4,4,4,5,3,2,4,3,3,3,3,0,1,4,5,2,1,1,1,4,2,4,3,4,3,5,4,4,2,1,3,1,5,0,4,3,3,5,2,1,1,0
"Sonsbeck",2,2,4,2,3,3,1,2,4,4,3,3,3,3,3,2,3,3,4,3,0,5,3,1,4,2,4,3,3,4,3,1,4,1,3,3,2,2,3,2,2,4,4,2,4,2,2,2,4,1,1,4,4,3,1,3,5,3,4,1,4,2,2,1,3,3,4,3,2,0,2,2
"Straelen",3,4,0,3,4,3,5,4,2,4,2,4,3,5,2,4,2,2,1,3,4,4,1,3,3,3,3,3,2,2,2,4,3,4,4,5,5,3,3,3,3,4,2,2,2,3,1,1,2,1,2,3,4,4,4,3,1,3,1,0,3,3,3,4,4,5,4,3,3,2,4,1
"Wuppertal",2,0,0,4,4,5,4,2,1,3,1,3,0,3,3,2,3,3,4,4,3,3,4,3,3,4,3,3,1,1,1,4,1,3,3,2,2,2,3,1,3,3,3,3,1,3,2,1,4,3,3,1,2,1,4,3,4,2,3,4,3,3,2,3,4,2,0,0,1,1,2,3
"Suedlohn",2,5,2,2,3,2,2,5,2,2,4,3,4,4,1,2,4,3,1,4,2,2,2,4,4,1,3,2,3,5,2,3,0,5,4,3,2,3,3,1,3,1,4,4,4,5,2,4,2,1,2,4,3,4,1,1,4,3,4,2,4,1,2,1,4,4,4,0,3,1,4,3
"Leverkusen",1,4,0,0,2,2,3,1,5,3,3,2,2,0,2,3,2,3,5,4,3,4,4,3,3,2,1,4,3,5,2,2,5,2,3,3,0,4,4,4,5,4,5,1,5,3,2,3,2,4,4,2,2,5,2,4,3,4,3,4,5,4,3,4,3,2,2,3,4,3,0,4
"Schwerte",4,0,3,5,4,2,2,2,3,3,3,4,3,1,0,3,4,2,2,4,2,1,3,2,2,4,2,3,2,3,3,4,1,4,2,2,1,3,3,1,4,4,2,5,4,4,0,2,4,3,4,3,2,2,3,3,3,3,3,2,3,2,4,5,2,4,3,5,2,2,1,3
"Engelskirchen",1,4,3,3,3,3,3,0,2,3,2,3,0,1,4,3,4,1,3,1,1,2,3,0,3,2,1,0,0,3,2,1,1,2,4,4,5,2,2,1,4,4,3,2,4,3,1,2,2,2,0,1,4,2,1,4,5,4,0,1,2,2,5,3,2,3,3,4,4,2,1,1
"Werl",2,5,2,2,2,2,2,3,2,2,4,1,1,4,3,4,3,3,2,4,5,2,4,1,4,3,4,4,0,3,2,2,2,4,3,3,1,3,5,3,0,2,3,4,5,2,1,4,3,5,1,0,5,3,2,0,1,2,5,4,1,2,4,3,4,3,4,2,4,4,4,5
"Wesseling",2,3,1,4,3,1,4,3,4,3,3,2,4,3,3,3,1,2,4,2,3,2,3,3,3,3,1,5,4,4,3,2,2,3,2,4,4,3,2,3,2,2,1,0,1,2,2,4,4,3,4,4,3,2,2,1,2,1,4,2,3,3,3,1,2,2,1,2,3,2,1,3
"Tecklenburg",3,4,5,5,3,3,3,3,3,2,3,0,4,3,2,3,3,3,3,3,3,0,2,2,5,4,3,2,2,2,4,3,1,4,1,4,3,2,2,3,2,3,2,3,4,5,2,3,4,5,4,4,4,3,2,0,1,1,1,2,4,4,2,3,1,2,2,3,3,4,3,4
"Mettmann",1,1,4,4,4,3,4,3,4,2,2,4,3,4,4,4,2,4,3,4,2,2,2,4,5,2,3,3,1,3,3,2,3,0,3,3,4,1,1,4,4,4,2,4,3,4,1,5,2,1,5,2,2,2,2,4,4,2,3,4,3,3,4,4,2,4,3,2,3,2,4,2
"Bocholt",5,2,4,2,3,4,5,2,2,1,1,3,4,5,4,0,2,3,5,2,1,1,5,4,3,5,3,0,2,3,4,2,0,3,4,2,3,2,4,5,3,1,1,4,4,2,4,2,2,0,4,1,4,2,4,4,0,5,3,1,2,3,4,5,0,2,3,3,3,4,3,2
"Schleiden",4,1,2,5,3,2,3,5,2,4,2,2,4,4,4,3,2,4,5,5,2,3,3,2,1,5,2,5,3,3,3,2,3,5,4,4,3,2,1,1,3,3,3,2,5,1,4,3,2,2,4,4,3,3,0,2,1,3,4,1,3,3,1,3,1,1,3,4,1,3,4,2
"Ratingen",2,3,3,3,4,1,4,4,2,2,2,3,0,1,1,1,3,3,4,2,5,0,5,4,1,3,2,2,4,1,2,3,1,3,0,2,5,5,2,2,2,2,2,5,5,2,1,3,1,3,1,1,4,4,2,1,5,4,2,4,3,0,3,2,3,1,4,1,4,3,2,3
"Meerbusch",4,4,3,1,5,1,3,2,5,4,5,4,1,2,3,2,2,3,2,1,1,2,2,1,5,4,3,3,3,0,3,2,4,4,5,4,3,3,2,1,5,4,4,1,0,0,5,1,4,1,4,4,2,4,1,0,2,3,2,3,4,4,3,5,0,2,3,4,3,2,2,5
"Hellenthal",1,2,2,3,2,1,2,4,3,2,3,2,5,0,3,1,4,3,5,1,4,2,2,4,3,3,4,2,4,1,1,4,4,0,3,3,4,4,0,4,3,1,5,1,4,2,0,3,5,3,4,1,4,4,3,4,4,5,2,4,1,2,3,3,4,1,5,2,4,2,1,3
"UebachPalenberg",5,2,1,4,5,0,3,1,3,5,2,1,3,2,3,0,2,2,3,0,2,4,5,5,5,4,5,2,1,2,3,2,2,1,3,3,4,1,3,2,0,3,2,2,4,3,0,2,3,2,3,4,2,4,5,1,2,1,3,2,3,5,5,4,5,3,4,4,2,4,0,4
"Bestwig",5,3,1,3,2,3,5,2,4,4,2,3,5,2,4,4,3,1,2,1,3,1,4,4,3,2,1,2,4,3,3,3,2,5,4,3,4,1,2,5,3,4,3,3,0,1,2,1,2,5,3,2,0,3,5,2,4,3,2,4,1,3,4,1,1,3,1,1,2,2,4,3
"Lengerich",1,1,0,5,2,3,4,4,3,4,3,2,1,2,2,5,3,2,0,3,2,4,5,4,4,4,5,2,3,2,3,4,2,4,2,4,0,2,2,1,3,0,5,0,3,4,1,2,3,3,1,4,3,5,5,2,2,2,2,3,2,1,2,1,5,2,3,3,5,2,3,3
"Radevormwald",3,1,3,3,3,4,2,0,2,2,3,3,5,3,2,4,4,2,4,4,4,3,4,4,1,4,3,1,5,4,3,4,2,2,2,4,3,5,2,4,2,4,3,3,4,2,1,3,3,2,3,4,3,1,4,2,2,1,2,2,3,4,4,1,3,3,1,2,3,3,2,4
"Siegen",4,4,3,3,2,3,2,2,4,3,2,3,1,1,2,3,2,4,3,4,3,3,3,2,2,3,4,5,3,1,1,0,3,4,4,5,1,3,1,3,1,3,2,4,2,2,4,5,4,2,3,2,5,3,3,3,3,2,1,2,2,0,3,4,2,2,4,1,3,3,3,2
"Soest",3,2,3,4,3,3,3,3,0,5,3,1,0,4,3,2,2,2,0,3,2,1,2,3,3,5,4,4,1,1,3,3,5,0,3,5,3,1,5,0,2,4,2,4,5,3,3,4,2,5,0,2,0,4,1,3,1,1,2,2,3,2,4,0,0,1,2,4,3,3,2,4
"Issum",4,3,0,2,2,4,5,2,1,3,2,3,3,4,4,4,2,4,1,2,2,2,5,3,3,3,3,4,4,1,2,1,5,1,4,2,4,4,3,4,2,4,2,2,1,4,5,4,2,2,3,3,4,4,2,3,1,3,1,1,2,1,4,3,4,2,2,0,0,5,3,1
"Waltrop",2,2,4,4,4,5,3,3,5,3,4,0,1,1,4,4,4,2,1,1,4,1,2,2,4,1,3,3,0,2,3,0,1,1,4,4,1,5,2,5,1,5,2,2,4,4,2,3,3,4,4,4,2,1,2,1,4,2,1,5,4,3,4,1,2,1,4,2,4,1,3,2
"CastropRauxel",2,3,2,2,4,2,3,3,5,4,3,2,3,4,2,3,3,2,3,3,5,3,1,2,2,4,2,3,0,3,3,3,1,4,4,3,2,5,2,1,3,0,2,3,0,2,2,1,4,3,4,2,3,2,5,2,2,1,1,5,3,2,2,1,3,3,4,1,4,0,4,3
"Nettetal",2,4,4,2,3,4,5,2,1,2,5,3,3,4,2,3,2,4,2,2,1,4,3,4,4,3,2,2,2,4,1,2,2,5,3,3,3,5,4,3,4,0,4,4,5,3,4,4,2,0,4,3,3,3,4,3,3,1,3,4,1,5,2,1,4,2,5,2,3,4,4,3
"BadSalzuflen",1,0,4,5,1,3,2,3,1,3,1,4,2,4,3,4,2,2,1,3,2,4,4,4,3,2,4,1,2,4,4,2,3,3,5,4,2,2,1,4,4,1,3,4,1,1,4,2,4,3,1,4,2,1,4,2,1,4,5,4,3,1,1,2,5,4,4,2,3,3,4,4
"Rahden",3,5,2,4,1,5,3,3,3,2,3,0,2,2,2,4,4,3,1,2,1,4,3,0,1,3,3,4,2,4,2,5,5,0,0,4,3,4,1,3,1,3,1,2,3,3,5,3,1,2,3,5,3,1,3,3,3,3,1,2,3,3,3,3,2,5,4,2,4,4,4,4
"Steinfurt",4,0,2,4,2,1,0,1,1,2,2,3,2,4,4,1,3,3,2,3,3,2,4,2,3,5,5,2,0,2,2,0,2,5,2,3,4,0,1,1,4,3,0,3,3,4,4,3,5,1,4,3,5,0,1,3,2,2,2,4,4,0,5,2,3,4,2,3,1,2,2,4
"Lemgo",1,2,2,0,2,3,4,5,2,2,1,2,3,4,4,0,2,3,3,4,2,4,2,2,3,4,4,4,4,5,1,4,4,3,4,3,5,1,2,3,3,1,3,2,3,4,2,3,2,4,4,0,3,3,0,2,1,2,1,2,3,3,2,2,4,2,4,4,3,2,3,1
"Hoerstel",3,1,1,3,4,0,3,0,3,2,3,5,3,0,3,2,2,3,2,4,2,1,3,3,2,4,3,4,3,2,3,4,2,3,3,3,4,1,2,1,2,1,0,1,3,4,2,3,2,2,4,1,5,2,5,0,4,3,2,4,1,3,1,2,1,5,1,1,5,3,4,2
"Nieheim",4,3,3,3,2,3,1,1,2,1,4,0,4,4,1,3,4,5,2,3,2,1,1,3,3,4,4,2,1,3,2,4,2,0,4,3,5,2,0,2,4,4,4,1,2,3,1,1,4,3,2,2,3,4,3,5,3,4,3,4,2,5,3,4,1,4,5,5,1,2,4,1
"Steinheim",4,2,2,2,4,2,2,2,2,3,1,2,4,1,0,1,1,3,4,5,3,3,0,4,5,2,2,2,4,5,0,5,3,3,3,1,2,4,4,4,1,2,4,3,0,5,3,1,2,4,3,5,4,4,1,4,5,4,2,1,3,0,3,2,3,3,0,2,0,1,4,3
"Ruethen",4,3,3,4,2,0,4,5,4,3,1,2,5,4,2,3,4,1,4,2,0,3,4,3,5,5,4,1,1,2,3,3,3,4,4,2,3,3,0,3,4,1,3,2,3,4,5,4,4,1,3,3,1,3,1,4,3,4,3,2,3,4,1,4,2,1,5,5,4,3,4,3
"BadWuennenberg",1,5,3,3,4,4,2,1,4,1,0,3,4,0,4,4,1,0,3,3,0,5,2,2,3,3,5,2,5,3,1,1,1,4,5,2,2,4,5,4,0,5,2,1,3,2,3,1,4,2,3,0,1,4,4,3,0,3,3,2,1,3,3,2,1,3,3,1,1,2,4,1
"Vettweiss",2,1,3,4,2,2,4,2,5,1,4,2,2,0,0,3,3,1,4,1,2,3,5,1,5,4,3,2,1,4,1,2,3,4,3,2,0,4,4,3,3,3,2,4,2,4,1,2,5,2,1,2,3,2,1,1,3,3,4,3,2,1,2,1,1,4,1,4,4,2,3,5
"Luenen",4,4,3,1,3,2,1,1,5,5,4,4,4,4,1,3,3,4,3,4,5,2,1,3,3,1,0,3,4,5,1,1,4,2,2,2,4,4,4,5,0,3,4,1,2,3,4,4,2,4,1,2,3,3,1,1,3,3,3,1,4,2,3,3,1,2,1,2,3,1,1,2
"Bochum",0,4,5,1,3,3,1,3,4,4,2,1,4,1,0,1,3,2,4,1,3,3,4,4,5,1,2,5,1,4,4,3,5,5,4,2,1,4,1,3,0,1,4,3,3,3,2,1,4,4,1,4,4,2,3,4,1,3,2,1,3,3,3,3,3,2,4,5,4,5,4,4
"Delbrueck",2,1,3,2,5,3,4,1,2,3,3,3,1,2,2,2,3,3,4,4,4,1,0,3,2,1,3,1,3,3,2,3,4,4,3,2,3,2,1,4,4,4,5,2,4,3,3,3,3,5,3,3,0,2,1,4,3,4,1,1,5,4,3,2,3,2,2,3,5,4,4,1
"Gangelt",1,1,4,1,4,2,3,4,4,5,2,1,4,4,2,3,2,1,0,4,2,2,4,4,5,5,4,2,2,5,4,5,3,1,4,4,3,3,4,3,4,4,3,5,3,5,3,1,1,3,5,4,4,1,2,4,2,5,1,4,5,1,2,3,4,3,4,3,4,4,1,3
"Kerken",2,5,4,3,1,5,2,2,4,3,3,0,5,2,5,3,2,1,4,4,5,4,0,4,2,2,3,5,4,3,1,0,1,4,4,3,4,5,3,2,3,3,3,4,4,5,3,1,2,5,4,3,4,1,3,3,2,4,1,4,0,1,3,1,3,2,0,4,1,0,4,5
"Horstmar",4,1,4,2,1,2,5,4,3,4,3,1,2,3,1,4,3,2,4,3,4,3,3,1,1,2,3,5,3,5,2,2,2,5,0,3,3,1,3,3,4,4,1,1,2,2,1,5,3,2,3,4,5,1,1,1,2,1,4,1,2,3,1,1,3,3,3,3,4,5,2,4
"Barntrup",2,1,4,5,5,2,4,3,2,2,3,5,4,1,2,4,1,4,1,2,3,5,2,3,4,1,3,2,1,3,1,1,5,4,3,1,2,5,4,2,3,3,1,0,2,5,3,2,3,2,4,2,1,2,2,4,4,3,1,1,3,3,3,2,2,4,2,3,3,1,4,4
"Ascheberg",2,3,3,2,4,2,4,2,3,3,3,2,1,3,5,2,2,2,2,1,5,2,3,1,4,0,5,3,4,3,4,5,3,4,2,4,5,4,1,4,2,2,4,1,3,2,1,5,2,2,5,0,5,3,5,4,4,2,2,2,1,2,4,2,1,5,4,2,3,3,1,2
"Wenden",4,1,4,1,3,3,3,4,0,4,3,3,4,4,3,4,2,3,4,4,1,3,3,0,2,3,3,3,0,2,2,3,2,3,4,5,2,3,3,3,3,4,2,4,2,2,2,4,2,5,0,2,1,4,4,3,3,3,1,2,3,0,5,4,1,2,4,5,1,3,3,1
"Drolshagen",1,2,1,1,4,2,2,4,3,1,3,5,4,4,3,5,2,4,1,1,3,1,4,4,3,2,4,4,3,4,3,3,5,4,4,2,1,1,1,4,4,2,0,4,0,1,2,4,0,1,2,4,4,3,0,2,4,3,3,3,5,1,3,2,1,2,4,3,3,0,4,4
"Geseke",2,2,2,1,2,3,4,4,4,4,3,4,5,3,2,1,5,4,3,0,3,4,3,5,5,1,1,3,3,2,3,4,2,4,1,5,4,1,4,2,4,5,4,1,2,2,3,2,4,3,4,1,3,3,4,2,4,0,1,2,1,2,0,4,4,4,2,5,2,3,1,3
"Kevelaer",2,0,4,3,3,2,3,2,2,1,5,3,4,2,4,2,3,1,3,2,2,2,2,4,2,3,1,5,5,0,3,4,4,3,3,5,4,2,2,3,4,1,1,3,1,4,5,0,3,1,3,4,1,4,4,5,4,5,4,4,3,3,5,1,3,2,2,3,3,3,1,4
"Hille",1,4,1,5,2,3,2,2,1,3,3,4,2,1,2,3,3,3,0,5,4,3,2,4,1,2,5,4,4,2,3,3,1,2,1,0,0,4,1,2,3,1,1,2,2,1,0,4,3,4,2,4,3,4,4,4,3,2,4,1,2,5,3,4,4,1,4,3,4,4,1,4
"Heinsberg",0,4,2,0,1,4,1,3,4,0,2,1,1,2,2,5,5,5,3,0,5,3,2,4,4,3,2,3,1,2,5,1,4,1,3,2,4,1,4,4,1,4,4,2,4,5,4,2,5,1,4,1,3,4,1,1,1,4,3,2,1,1,2,3,2,4,5,5,4,1,4,2
"Goch",3,2,3,5,3,1,3,4,3,4,3,2,1,4,2,1,2,2,2,1,4,2,1,3,5,4,1,3,2,2,3,1,3,2,4,4,2,3,4,3,4,5,3,2,3,3,3,4,4,2,3,2,1,2,2,1,1,5,0,0,4,4,2,5,3,1,4,2,3,2,3,2
"Neuenrade",2,1,2,2,3,2,1,2,4,5,2,2,4,1,5,4,1,4,3,4,1,4,3,4,3,1,4,3,3,5,5,1,1,4,5,4,1,2,3,0,5,4,4,5,4,1,3,2,4,3,2,3,5,2,4,0,5,2,4,4,4,3,1,4,4,2,1,5,4,1,4,5
"Loehne",4,5,2,1,4,4,1,3,4,2,2,1,1,3,1,3,2,4,3,4,4,2,3,1,4,5,1,3,3,0,5,2,3,1,5,3,3,3,3,3,4,4,2,3,4,2,3,1,2,3,2,1,1,4,0,1,5,1,3,4,5,5,3,1,4,3,1,5,2,3,2,1
"Windeck",0,5,2,2,0,0,4,4,2,3,4,1,1,4,5,3,2,4,2,3,3,2,3,5,3,5,3,0,5,2,2,4,4,3,2,2,1,4,2,0,2,5,4,1,3,5,1,4,4,3,0,3,4,1,5,0,4,4,3,3,4,3,3,4,2,0,3,2,5,4,4,1
"Mettingen",3,4,3,5,2,3,3,4,1,2,2,5,1,4,1,4,3,4,0,2,4,1,4,5,3,2,0,1,1,2,1,3,4,3,3,2,3,2,2,3,3,4,2,4,5,3,2,3,4,4,3,5,2,2,1,4,4,5,3,1,3,3,1,4,5,4,3,3,4,2,2,2
"Muenster",3,2,3,3,2,4,3,4,3,4,4,2,3,2,4,2,2,3,1,0,2,5,3,3,3,4,4,1,3,4,4,3,5,4,4,2,3,3,4,5,5,5,5,5,5,1,4,1,3,3,2,3,1,2,1,2,3,3,1,2,3,3,5,3,4,3,3,1,3,1,2,1
"Alfter",5,3,2,4,3,2,0,4,1,3,1,1,3,1,3,2,2,3,4,4,2,1,3,1,2,1,2,4,2,1,2,5,0,1,2,0,4,1,3,3,4,4,3,3,1,3,0,1,2,4,3,1,4,3,5,3,1,0,3,1,4,4,4,2,3,4,1,3,4,0,2,3
"Rheurdt",3,5,4,4,3,4,1,1,1,4,1,3,2,4,3,4,5,3,3,1,1,2,3,2,4,1,1,1,3,1,3,4,0,2,3,2,3,1,3,3,4,3,2,2,3,4,4,3,5,2,4,1,2,2,1,2,4,1,3,3,4,1,2,1,4,5,2,3,3,3,5,5
"Rheine",3,2,3,3,3,1,3,1,4,4,5,4,1,1,0,5,2,5,1,4,2,3,4,3,2,4,4,3,2,3,3,3,3,2,4,2,2,3,4,4,4,5,3,5,3,3,3,3,4,2,4,1,4,3,5,1,4,4,2,4,3,4,2,2,3,4,4,1,3,3,4,4
"Augustdorf",2,4,2,3,2,3,4,4,5,3,1,3,3,3,2,2,4,0,1,2,2,2,1,2,3,5,1,4,1,2,4,5,3,1,4,1,2,1,3,0,2,2,3,3,3,2,1,5,1,3,2,5,2,1,5,1,4,0,1,1,3,1,2,1,2,5,0,3,4,3,1,5
"Stemwede",2,2,5,4,4,2,3,4,1,3,4,1,5,2,2,3,3,1,3,4,0,5,1,2,4,2,2,5,4,4,0,3,2,2,1,1,3,4,4,1,4,4,2,3,3,5,2,5,3,1,3,2,2,0,3,4,5,0,3,4,3,3,0,4,1,2,4,4,0,1,2,3
"Troisdorf",3,3,1,4,3,1,3,2,4,4,4,4,3,3,0,4,3,1,1,1,2,4,3,5,2,4,5,5,2,3,5,5,5,1,4,4,4,3,1,2,3,4,0,4,4,4,1,3,3,2,4,4,5,1,2,3,1,3,2,3,2,1,1,4,3,2,1,2,4,1,3,5
"LangenfeldRhld",5,4,4,2,2,0,1,1,4,2,5,4,1,1,4,1,2,1,1,2,2,4,4,2,4,2,4,2,3,2,3,4,3,3,3,1,4,2,3,2,4,3,3,3,1,1,2,4,4,4,4,2,0,1,3,5,4,2,4,5,1,3,4,4,1,2,5,3,2,3,0,3
"Extertal",2,1,3,3,2,4,4,3,2,3,5,2,4,4,3,3,3,4,4,0,4,3,4,1,2,4,3,5,2,1,1,3,4,1,2,3,2,2,4,1,2,1,3,5,4,5,3,3,4,2,3,1,1,4,4,2,4,0,2,3,1,1,2,3,3,1,4,3,3,4,4,2
"Metelen",5,4,2,5,3,4,4,3,1,4,1,4,3,2,5,2,4,4,4,1,3,1,4,2,2,3,2,2,3,1,2,4,2,3,3,3,3,3,3,3,3,3,4,1,3,3,4,1,4,5,3,4,4,5,1,2,4,1,1,2,4,3,3,2,1,1,2,2,5,2,3,2
