"","activity1","activity2","activity3"
"Herford","activity71",NA,NA
"Recke","activity06",NA,NA
"Finnentrop","activity62",NA,NA
"Waldfeucht","activity57",NA,NA
"RhedaWiedenbrueck","activity50",NA,NA
"Brueggen","activity64",NA,NA
"Erkelenz","activity69",NA,NA
"Weeze","activity44",NA,NA
"Wilnsdorf","activity44",NA,NA
"Datteln","activity62",NA,NA
"Borken","activity43",NA,NA
"Bergkamen","activity05",NA,NA
"Oberhausen","activity68",NA,NA
"Wettringen","activity65",NA,NA
"Attendorn","activity22",NA,NA
"Herdecke","activity51",NA,NA
"Bergheim","activity69",NA,NA
"Much","activity68",NA,NA
"Eitorf","activity11",NA,NA
"Neuss","activity35",NA,NA
"MendenSauerland","activity33",NA,NA
"Wuelfrath","activity71",NA,NA
"Lippstadt","activity05",NA,NA
"Lichtenau","activity67",NA,NA
"Hallenberg","activity10",NA,NA
"Gevelsberg","activity67",NA,NA
"Havixbeck","activity28",NA,NA
"Petershagen","activity58",NA,NA
"WertherWestf","activity39",NA,NA
"Kleve","activity44",NA,NA
"Verl","activity64",NA,NA
"HerzebrockClarholz","activity66",NA,NA
"Ibbenbueren","activity62",NA,NA
"Erkrath","activity54",NA,NA
"Lennestadt","activity52",NA,NA
"OerErkenschwick","activity22",NA,NA
"Huenxe","activity06",NA,NA
"Lienen","activity02",NA,NA
"Noervenich","activity06",NA,NA
"Erndtebrueck","activity51",NA,NA
"Marsberg","activity10",NA,NA
"Everswinkel","activity70",NA,NA
"Euskirchen","activity61",NA,NA
"BadLippspringe","activity27",NA,NA
"Huertgenwald","activity63",NA,NA
"Plettenberg","activity69",NA,NA
"Kalletal","activity25",NA,NA
"GronauWestf","activity05",NA,NA
"Herten","activity09",NA,NA
"Doerentrup","activity63",NA,NA
"Welver","activity06",NA,NA
"Nideggen","activity71",NA,NA
"Geilenkirchen","activity06",NA,NA
"Raesfeld","activity05",NA,NA
"Versmold","activity70",NA,NA
"Pulheim","activity69",NA,NA
"Laer","activity66",NA,NA
"Breckerfeld","activity28",NA,NA
"Westerkappeln","activity57",NA,NA
"Velbert","activity67",NA,NA
"SundernSauerland","activity29",NA,NA
"Linnich","activity70",NA,NA
"Detmold","activity71",NA,NA
"Rosendahl","activity36",NA,NA
"Espelkamp","activity29",NA,NA
"BedburgHau","activity11",NA,NA
"Paderborn","activity39",NA,NA
"Beverungen","activity46",NA,NA
"SanktAugustin","activity54",NA,NA
"Niederzier","activity08",NA,NA
"Elsdorf","activity54",NA,NA
"Isselburg","activity71",NA,NA
"EmmerichamRhein","activity31",NA,NA
"Wachtberg","activity58",NA,NA
"BadMuenstereifel","activity13",NA,NA
"Heiden","activity21",NA,NA
"Wiehl","activity68",NA,NA
"Netphen","activity66",NA,NA
"Huellhorst","activity64",NA,NA
"Bedburg","activity63",NA,NA
"Huerth","activity28",NA,NA
"Hilchenbach","activity22",NA,NA
"Inden","activity64",NA,NA
"Schmallenberg","activity61",NA,NA
"Hueckelhoven","activity42",NA,NA
"Ennigerloh","activity57",NA,NA
"Zuelpich","activity08",NA,NA
"Olfen","activity72",NA,NA
"Ense","activity69",NA,NA
"Nordwalde","activity06",NA,NA
"Warendorf","activity19",NA,NA
"Sendenhorst","activity31",NA,NA
"Witten","activity31",NA,NA
"Willebadessen","activity11",NA,NA
"Grevenbroich","activity55",NA,NA
"Freudenberg","activity62",NA,NA
"Stadtlohn","activity28",NA,NA
"Bueren","activity05",NA,NA
"Duelmen","activity17",NA,NA
"Rheinberg","activity37",NA,NA
"Morsbach","activity26",NA,NA
"BadSassendorf","activity63",NA,NA
"Geldern","activity28",NA,NA
"Lage","activity46",NA,NA
"Burbach","activity62",NA,NA
"Guetersloh","activity07",NA,NA
"Schwelm","activity33",NA,NA
"Frechen","activity44",NA,NA
"Unna","activity14",NA,NA
"PreussischOldendorf","activity04",NA,NA
"Anroechte","activity04",NA,NA
"BadOeynhausen","activity14",NA,NA
"Saerbeck","activity69",NA,NA
"Blankenheim","activity39",NA,NA
"Korschenbroich","activity70",NA,NA
"Kreuzau","activity51",NA,NA
"Bergneustadt","activity60",NA,NA
"Kirchhundem","activity48",NA,NA
"Halver","activity68",NA,NA
"Arnsberg","activity42",NA,NA
"VoerdeNiederrhein","activity18",NA,NA
"Langenberg","activity66",NA,NA
"Alpen","activity19",NA,NA
"Warburg","activity17",NA,NA
"Niederkruechten","activity46",NA,NA
"Langerwehe","activity64",NA,NA
"Recklinghausen","activity14",NA,NA
"SchlossHolteStukenbrock","activity35",NA,NA
"Kreuztal","activity22",NA,NA
"Ennepetal","activity71",NA,NA
"Erwitte","activity38",NA,NA
"Selfkant","activity56",NA,NA
"BadBerleburg","activity39",NA,NA
"Schermbeck","activity20",NA,NA
"Luebbecke","activity10",NA,NA
"Sprockhoevel","activity15",NA,NA
"Meinerzhagen","activity35",NA,NA
"Hattingen","activity64",NA,NA
"Olsberg","activity26",NA,NA
"Kall","activity22",NA,NA
"Blomberg","activity68",NA,NA
"BadLaasphe","activity63",NA,NA
"NeunkirchenSeelscheid","activity28",NA,NA
"Schalksmuehle","activity67",NA,NA
"Dortmund","activity69",NA,NA
"Neunkirchen","activity62",NA,NA
"Boenen","activity63",NA,NA
"Rietberg","activity46",NA,NA
"KampLintfort","activity52",NA,NA
"Kranenburg","activity43",NA,NA
"Willich","activity21",NA,NA
"Drensteinfurt","activity15",NA,NA
"Minden","activity11",NA,NA
"Moehnesee","activity63",NA,NA
"Hemer","activity69",NA,NA
"BadHonnef","activity57",NA,NA
"Reichshof","activity51",NA,NA
"Juelich","activity72",NA,NA
"Borchen","activity49",NA,NA
"Hiddenhausen","activity46",NA,NA
"Nuembrecht","activity64",NA,NA
"MonheimamRhein","activity11",NA,NA
"NeukirchenVluyn","activity41",NA,NA
"Rheinbach","activity06",NA,NA
"HennefSieg","activity67",NA,NA
"Swisttal","activity65",NA,NA
"Lohmar","activity52",NA,NA
"Weilerswist","activity50",NA,NA
"Borgentreich","activity38",NA,NA
"PortaWestfalica","activity03",NA,NA
"Merzenich","activity05",NA,NA
"Brilon","activity68",NA,NA
"Kaarst","activity55",NA,NA
"Marl","activity59",NA,NA
"Dorsten","activity59",NA,NA
"Oerlinghausen","activity28",NA,NA
"Grefrath","activity08",NA,NA
"Nettersheim","activity61",NA,NA
"Rhede","activity09",NA,NA
"Altena","activity61",NA,NA
"WetterRuhr","activity48",NA,NA
"BadDriburg","activity14",NA,NA
"Ruppichteroth","activity33",NA,NA
"Siegburg","activity05",NA,NA
"Hagen","activity70",NA,NA
"Herscheid","activity60",NA,NA
"Altenbeken","activity47",NA,NA
"Meckenheim","activity35",NA,NA
"Reken","activity69",NA,NA
"Leopoldshoehe","activity42",NA,NA
"Wegberg","activity38",NA,NA
"Dueren","activity64",NA,NA
"Ladbergen","activity05",NA,NA
"Neuenkirchen","activity39",NA,NA
"Lindlar","activity45",NA,NA
"Kempen","activity71",NA,NA
"Legden","activity51",NA,NA
"Rommerskirchen","activity06",NA,NA
"Hueckeswagen","activity42",NA,NA
"Wadersloh","activity39",NA,NA
"Bornheim","activity41",NA,NA
"Waldbroel","activity67",NA,NA
"Telgte","activity64",NA,NA
"Dormagen","activity70",NA,NA
"Nordkirchen","activity58",NA,NA
"Niederkassel","activity25",NA,NA
"Balve","activity72",NA,NA
"Billerbeck","activity18",NA,NA
"Altenberge","activity11",NA,NA
"Heiligenhaus","activity02",NA,NA
"Ochtrup","activity50",NA,NA
"Velen","activity66",NA,NA
"Wassenberg","activity25",NA,NA
"Harsewinkel","activity32",NA,NA
"Erftstadt","activity31",NA,NA
"Rees","activity27",NA,NA
"Heek","activity13",NA,NA
"Hoexter","activity06",NA,NA
"Vlotho","activity54",NA,NA
"Aldenhoven","activity55",NA,NA
"EsloheSauerland","activity09",NA,NA
"Dahlem","activity28",NA,NA
"Gescher","activity48",NA,NA
"Wachtendonk","activity46",NA,NA
"Herne","activity48",NA,NA
"HalternamSee","activity33",NA,NA
"Toenisvorst","activity45",NA,NA
"Moers","activity11",NA,NA
"Schlangen","activity13",NA,NA
"Meschede","activity26",NA,NA
"Dinslaken","activity42",NA,NA
"Kerpen","activity54",NA,NA
"Koenigswinter","activity68",NA,NA
"Kierspe","activity68",NA,NA
"Marienheide","activity24",NA,NA
"Winterberg","activity28",NA,NA
"Aachen","activity68",NA,NA
"Alsdorf","activity39",NA,NA
"Baesweiler","activity62",NA,NA
"Eschweiler","activity50",NA,NA
"Herzogenrath","activity63",NA,NA
"Monschau","activity59",NA,NA
"Roetgen","activity22",NA,NA
"Simmerath","activity03",NA,NA
"StolbergRhld","activity13",NA,NA
"Vreden","activity67",NA,NA
"Wuerselen","activity08",NA,NA
