"","latitude","longitude","byear","education","memory","beta","beta_s","aspiration","tolerance_income","tolerance_activity","lambda","alpha_plus","alpha_minus","phi_plus","phi_minus"
"Gangelt",0,0,1940,12,5,0.83,0.98,231,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Kerken",0,0,1940,10,5,0.93,0.53,249,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Horstmar",0,0,1940,12,5,0.96,0.63,236,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Barntrup",0,0,1940,8,5,0.91,0.72,240,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Ascheberg",0,0,1940,8,5,0.96,0.83,181,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Wenden",0,0,1940,12,5,0.97,0.88,271,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Drolshagen",0,0,1940,10,5,0.86,0.77,257,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Geseke",0,0,1940,10,5,0.95,0.65,238,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Kevelaer",0,0,1940,11,5,0.87,0.67,238,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Hille",0,0,1940,7,5,0.94,0.84,254,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Heinsberg",0,0,1940,10,5,0.89,0.62,226,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Goch",0,0,1940,9,5,0.9,0.77,256,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Neuenrade",0,0,1940,13,5,0.98,0.6,294,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Loehne",0,0,1940,10,5,0.83,0.76,310,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Windeck",0,0,1940,8,5,0.97,0.71,199,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Mettingen",0,0,1940,12,5,0.85,0.89,128,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Muenster",0,0,1940,9,5,0.83,0.62,315,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Alfter",0,0,1940,9,5,0.93,0.76,355,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Rheurdt",0,0,1940,11,5,0.97,0.78,227,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Rheine",0,0,1940,9,5,0.89,0.88,246,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Augustdorf",0,0,1940,8,5,0.69,0.81,190,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Stemwede",0,0,1940,13,5,0.62,0.85,238,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Troisdorf",0,0,1940,10,5,0.94,0.75,241,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"LangenfeldRhld",0,0,1940,10,5,0.94,0.8,195,0.12,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Extertal",0,0,1940,10,5,0.88,0.72,187,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Metelen",0,0,1940,11,5,0.86,0.66,237,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Wipperfuerth",0,0,1940,12,5,0.84,0.65,200,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Schoeppingen",0,0,1940,11,5,0.94,0.7,221,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Uedem",0,0,1940,11,5,0.71,0.83,262,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"FroendenbergRuhr",0,0,1940,12,5,0.85,0.68,268,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Coesfeld",0,0,1940,12,5,0.85,0.83,298,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Kalkar",0,0,1940,9,5,0.9,0.57,204,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Sassenberg",0,0,1940,8,5,0.85,0.84,219,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Viersen",0,0,1940,10,5,0.78,0.68,205,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Buende",0,0,1940,13,5,0.72,0.87,265,0.11,0.11,0.7889,0.6667,0.6667,0.9,0.9
"Oelde",0,0,1940,11,5,0.79,0.68,109,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"SchiederSchwalenberg",0,0,1940,13,5,0.93,0.84,238,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Spenge",0,0,1940,11,5,1,0.65,186,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Wesel",0,0,1940,6,5,0.82,0.78,209,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"WickedeRuhr",0,0,1940,11,5,0.98,0.59,236,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Steinhagen",0,0,1940,7,5,0.95,0.37,254,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Bielefeld",0,0,1940,9,5,0.89,0.75,285,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Olpe",0,0,1940,8,5,0.98,0.96,154,0.1,0.11,0.7889,0.6667,0.6667,0.9,0.9
"Werdohl",0,0,1940,13,5,0.84,0.63,309,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Kamen",0,0,1940,9,5,0.65,0.71,186,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Emsdetten",0,0,1940,13,5,0.74,0.74,178,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Brakel",0,0,1940,8,5,0.88,0.95,348,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Roedinghausen",0,0,1940,8,5,0.81,0.78,286,0.12,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Xanten",0,0,1940,15,5,0.99,0.83,194,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Haan",0,0,1940,11,5,0.95,0.74,295,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"HalleWestf",0,0,1940,12,5,0.96,0.47,163,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Gladbeck",0,0,1940,9,5,0.98,0.83,249,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Heimbach",0,0,1940,8,5,0.79,0.78,358,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Beelen",0,0,1940,12,5,0.83,0.92,249,0.1,0.11,0.7889,0.6667,0.6667,0.9,0.9
"Medebach",0,0,1940,11,5,0.93,0.88,207,0.1,0.11,0.7889,0.6667,0.6667,0.9,0.9
"NachrodtWiblingwerde",0,0,1940,9,5,0.95,0.84,246,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"HornBadMeinberg",0,0,1940,11,5,0.9,0.61,212,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Warstein",0,0,1940,9,5,0.85,0.78,242,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Luegde",0,0,1940,11,5,0.95,0.84,226,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Luedenscheid",0,0,1940,12,5,0.99,0.71,249,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Schwalmtal",0,0,1940,10,5,0.95,0.84,258,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Gummersbach",0,0,1940,11,5,0.87,0.86,256,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Ahlen",0,0,1940,12,5,0.96,0.78,258,0.1,0.11,0.7889,0.6667,0.6667,0.9,0.9
"Senden",0,0,1940,6,5,0.96,0.74,277,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Werne",0,0,1940,8,5,0.87,0.79,233,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Iserlohn",0,0,1940,11,5,0.79,0.77,189,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Titz",0,0,1940,10,5,0.98,0.87,205,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Enger",0,0,1940,11,5,0.98,0.79,195,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Herford",0,0,1940,10,5,0.51,0.49,239,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Recke",0,0,1940,9,5,0.7,0.63,216,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Finnentrop",0,0,1940,8,5,0.93,0.8,207,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Waldfeucht",0,0,1940,8,5,0.97,0.83,275,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"RhedaWiedenbrueck",0,0,1940,8,5,0.96,0.64,178,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Brueggen",0,0,1940,13,5,0.86,0.57,216,0.12,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Erkelenz",0,0,1940,9,5,0.92,0.67,171,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Weeze",0,0,1940,7,5,0.94,0.71,240,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Wilnsdorf",0,0,1940,9,5,0.98,0.75,263,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Datteln",0,0,1940,11,5,0.76,0.64,214,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Borken",0,0,1940,10,5,0.66,0.78,239,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Bergkamen",0,0,1940,8,5,0.99,0.55,219,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Oberhausen",0,0,1940,8,5,0.72,0.56,375,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Wettringen",0,0,1940,10,5,0.84,0.6,250,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Attendorn",0,0,1940,8,5,0.73,0.77,304,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Herdecke",0,0,1940,11,5,0.99,0.75,331,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Bergheim",0,0,1940,10,5,0.94,0.69,198,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Much",0,0,1940,9,5,0.69,0.66,271,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Eitorf",0,0,1940,12,5,0.7,0.74,280,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Neuss",0,0,1940,9,5,0.86,0.67,222,0.11,0.11,0.7889,0.6667,0.6667,0.9,0.9
"MendenSauerland",0,0,1940,7,5,0.84,0.62,236,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Wuelfrath",0,0,1940,12,5,1,0.87,205,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Lippstadt",0,0,1940,11,5,1,0.89,275,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Lichtenau",0,0,1940,14,5,0.91,0.57,238,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Hallenberg",0,0,1940,15,5,0.66,0.68,241,0.1,0.11,0.7889,0.6667,0.6667,0.9,0.9
"Gevelsberg",0,0,1940,6,5,0.61,0.92,163,0.12,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Havixbeck",0,0,1940,9,5,0.95,0.69,262,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Petershagen",0,0,1940,10,5,0.66,0.76,195,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"WertherWestf",0,0,1940,7,5,0.91,0.74,191,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Kleve",0,0,1940,10,5,0.89,0.8,201,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Verl",0,0,1940,13,5,0.79,0.63,234,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"HerzebrockClarholz",0,0,1940,10,5,0.8,0.75,300,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Ibbenbueren",0,0,1940,10,5,0.88,0.54,184,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Erkrath",0,0,1940,8,5,0.91,0.79,213,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Lennestadt",0,0,1940,11,5,0.8,0.7,332,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"OerErkenschwick",0,0,1940,10,5,0.67,0.72,328,0.12,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Huenxe",0,0,1940,12,5,0.89,0.48,271,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Lienen",0,0,1940,10,5,0.66,0.53,283,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Noervenich",0,0,1940,9,5,0.87,0.51,211,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Erndtebrueck",0,0,1940,8,5,0.86,0.94,220,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Marsberg",0,0,1940,12,5,0.9,0.75,247,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Everswinkel",0,0,1940,10,5,0.94,0.68,352,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Euskirchen",0,0,1940,9,5,0.93,0.76,394,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"BadLippspringe",0,0,1940,11,5,0.91,0.63,239,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Huertgenwald",0,0,1940,9,5,0.84,0.74,247,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Plettenberg",0,0,1940,10,5,0.68,0.93,300,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Kalletal",0,0,1940,8,5,0.83,0.65,243,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"GronauWestf",0,0,1940,8,5,0.75,0.63,237,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Herten",0,0,1940,8,5,0.88,0.78,231,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Doerentrup",0,0,1940,7,5,0.97,0.55,269,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Welver",0,0,1940,11,5,0.99,0.64,177,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Nideggen",0,0,1940,12,5,0.99,0.61,264,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Geilenkirchen",0,0,1940,12,5,0.95,0.65,287,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Raesfeld",0,0,1940,11,5,0.73,0.74,199,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Versmold",0,0,1940,11,5,0.81,0.97,235,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Pulheim",0,0,1940,7,5,0.7,0.43,242,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Laer",0,0,1940,12,5,0.44,0.81,324,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Breckerfeld",0,0,1940,11,5,0.43,0.67,198,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Westerkappeln",0,0,1940,9,5,0.94,0.41,260,0.12,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Velbert",0,0,1940,10,5,0.91,0.81,214,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"SundernSauerland",0,0,1940,11,5,1,0.64,208,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Linnich",0,0,1940,10,5,0.92,0.45,228,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Detmold",0,0,1940,13,5,0.9,0.91,220,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Rosendahl",0,0,1940,7,5,0.96,0.81,199,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Espelkamp",0,0,1940,12,5,0.74,0.81,250,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"BedburgHau",0,0,1940,10,5,0.76,0.61,265,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Paderborn",0,0,1940,10,5,0.97,0.68,285,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Beverungen",0,0,1940,10,5,0.81,0.62,326,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"SanktAugustin",0,0,1940,13,5,0.71,0.79,191,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Niederzier",0,0,1940,15,5,0.97,0.65,291,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Elsdorf",0,0,1940,7,5,0.95,0.95,224,0.12,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Isselburg",0,0,1940,15,5,0.96,0.77,189,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"EmmerichamRhein",0,0,1940,10,5,0.8,0.9,268,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Wachtberg",0,0,1940,8,5,0.98,0.96,218,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"BadMuenstereifel",0,0,1940,10,5,0.69,0.5,292,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Heiden",0,0,1940,8,5,0.72,0.65,225,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Wiehl",0,0,1940,11,5,0.94,0.59,232,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Netphen",0,0,1940,13,5,0.99,0.71,151,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Huellhorst",0,0,1940,9,5,0.71,0.6,187,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Bedburg",0,0,1940,10,5,0.81,0.86,241,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Huerth",0,0,1940,9,5,0.85,0.56,252,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Hilchenbach",0,0,1940,10,5,0.82,0.68,279,0.1,0.11,0.7889,0.6667,0.6667,0.9,0.9
"Inden",0,0,1940,9,5,0.81,0.6,202,0.12,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Schmallenberg",0,0,1940,13,5,0.79,0.75,333,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Hueckelhoven",0,0,1940,10,5,0.66,0.59,209,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Ennigerloh",0,0,1940,9,5,0.95,0.76,187,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Zuelpich",0,0,1940,14,5,0.78,0.52,217,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Olfen",0,0,1940,10,5,1,0.79,241,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Ense",0,0,1940,8,5,0.93,0.75,272,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Nordwalde",0,0,1940,12,5,0.92,0.58,233,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Warendorf",0,0,1940,10,5,0.93,0.9,245,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Sendenhorst",0,0,1940,11,5,1,0.77,245,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Witten",0,0,1940,9,5,0.82,0.83,239,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Willebadessen",0,0,1940,10,5,0.84,0.8,225,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Grevenbroich",0,0,1940,10,5,0.9,0.69,318,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Freudenberg",0,0,1940,6,5,0.94,0.94,205,0.1,0.11,0.7889,0.6667,0.6667,0.9,0.9
"Stadtlohn",0,0,1940,11,5,0.94,0.81,231,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Bueren",0,0,1940,7,5,0.92,0.8,231,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Duelmen",0,0,1940,8,5,0.98,0.88,306,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Rheinberg",0,0,1940,9,5,0.81,0.68,160,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Morsbach",0,0,1940,12,5,0.78,0.72,269,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"BadSassendorf",0,0,1940,10,5,0.88,0.86,143,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Geldern",0,0,1940,10,5,0.87,0.49,268,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
