,latitude,longitude,byear,education,memory,beta_l,beta_s,beta_p,reference_income,aspiration,tolerance_income,tolerance_activity,lambda,alpha_plus,alpha_minus,phi_plus,phi_minus,opt_fuzzy_size,imt_fuzzy_size,ranking_version,learning_rate
Viersen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Buende,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Oelde,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
SchiederSchwalenberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Spenge,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Wesel,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
WickedeRuhr,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Steinhagen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Bielefeld,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Olpe,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Werdohl,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Kamen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Emsdetten,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Brakel,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Roedinghausen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Xanten,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Haan,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
HalleWestf,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Gladbeck,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Heimbach,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Beelen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Medebach,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
NachrodtWiblingwerde,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
HornBadMeinberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Warstein,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Luegde,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Luedenscheid,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Schwalmtal,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Gummersbach,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Ahlen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Senden,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Werne,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Iserlohn,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Titz,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Enger,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Herford,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Recke,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Finnentrop,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Waldfeucht,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
RhedaWiedenbrueck,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Brueggen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Erkelenz,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Weeze,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Wilnsdorf,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Datteln,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Borken,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Bergkamen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Oberhausen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Wettringen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Attendorn,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Herdecke,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Bergheim,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Much,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Eitorf,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Neuss,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
MendenSauerland,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Wuelfrath,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Lippstadt,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Lichtenau,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Hallenberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Gevelsberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Havixbeck,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Petershagen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
WertherWestf,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Kleve,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Verl,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
HerzebrockClarholz,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Ibbenbueren,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Erkrath,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Lennestadt,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
OerErkenschwick,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Huenxe,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Lienen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Noervenich,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Erndtebrueck,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Marsberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Everswinkel,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Euskirchen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
BadLippspringe,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Huertgenwald,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Plettenberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Kalletal,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
GronauWestf,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Herten,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Doerentrup,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Welver,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Nideggen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Geilenkirchen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Raesfeld,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
