,activity1,activity2,activity3
MendenSauerland,activity45,NA,NA
Wuelfrath,activity14,NA,NA
Lippstadt,activity19,NA,NA
Lichtenau,activity54,NA,NA
Hallenberg,activity57,NA,NA
Gevelsberg,activity55,NA,NA
Havixbeck,activity67,NA,NA
Petershagen,activity57,NA,NA
WertherWestf,activity28,NA,NA
Kleve,activity36,NA,NA
Verl,activity65,NA,NA
HerzebrockClarholz,activity72,NA,NA
Ibbenbueren,activity72,NA,NA
Erkrath,activity68,NA,NA
Lennestadt,activity42,NA,NA
OerErkenschwick,activity38,NA,NA
Huenxe,activity35,NA,NA
Lienen,activity64,NA,NA
Noervenich,activity15,NA,NA
Erndtebrueck,activity67,NA,NA
Marsberg,activity51,NA,NA
Everswinkel,activity67,NA,NA
Euskirchen,activity62,NA,NA
BadLippspringe,activity65,NA,NA
Huertgenwald,activity16,NA,NA
Plettenberg,activity66,NA,NA
Kalletal,activity26,NA,NA
GronauWestf,activity54,NA,NA
Herten,activity67,NA,NA
Doerentrup,activity62,NA,NA
Welver,activity65,NA,NA
Nideggen,activity31,NA,NA
Geilenkirchen,activity21,NA,NA
Raesfeld,activity15,NA,NA
Versmold,activity36,NA,NA
Pulheim,activity30,NA,NA
Laer,activity59,NA,NA
Breckerfeld,activity22,NA,NA
Westerkappeln,activity06,NA,NA
Velbert,activity27,NA,NA
SundernSauerland,activity30,NA,NA
Linnich,activity05,NA,NA
Detmold,activity22,NA,NA
Rosendahl,activity59,NA,NA
Espelkamp,activity28,NA,NA
BedburgHau,activity43,NA,NA
Paderborn,activity66,NA,NA
Beverungen,activity49,NA,NA
SanktAugustin,activity25,NA,NA
Niederzier,activity20,NA,NA
Elsdorf,activity24,NA,NA
Isselburg,activity11,NA,NA
EmmerichamRhein,activity05,NA,NA
Wachtberg,activity12,NA,NA
BadMuenstereifel,activity69,NA,NA
Heiden,activity30,NA,NA
Wiehl,activity61,NA,NA
Netphen,activity65,NA,NA
Huellhorst,activity69,NA,NA
Bedburg,activity26,NA,NA
Huerth,activity39,NA,NA
Hilchenbach,activity05,NA,NA
Inden,activity29,NA,NA
Schmallenberg,activity05,NA,NA
Hueckelhoven,activity62,NA,NA
Ennigerloh,activity22,NA,NA
Zuelpich,activity69,NA,NA
Olfen,activity28,NA,NA
Ense,activity70,NA,NA
Nordwalde,activity25,NA,NA
Warendorf,activity03,NA,NA
Sendenhorst,activity42,NA,NA
Witten,activity25,NA,NA
Willebadessen,activity60,NA,NA
Grevenbroich,activity55,NA,NA
Freudenberg,activity53,NA,NA
Stadtlohn,activity68,NA,NA
Bueren,activity56,NA,NA
Duelmen,activity67,NA,NA
Rheinberg,activity61,NA,NA
Morsbach,activity28,NA,NA
BadSassendorf,activity70,NA,NA
Geldern,activity11,NA,NA
Lage,activity70,NA,NA
Burbach,activity39,NA,NA
Guetersloh,activity67,NA,NA
Schwelm,activity63,NA,NA
Frechen,activity61,NA,NA
Unna,activity29,NA,NA
PreussischOldendorf,activity45,NA,NA
Anroechte,activity68,NA,NA
BadOeynhausen,activity39,NA,NA
Saerbeck,activity64,NA,NA
Blankenheim,activity70,NA,NA
Korschenbroich,activity62,NA,NA
Kreuzau,activity45,NA,NA
Bergneustadt,activity66,NA,NA
Kirchhundem,activity51,NA,NA
Halver,activity69,NA,NA
Arnsberg,activity38,NA,NA
VoerdeNiederrhein,activity25,NA,NA
Langenberg,activity09,NA,NA
Alpen,activity09,NA,NA
Warburg,activity14,NA,NA
Niederkruechten,activity06,NA,NA
Langerwehe,activity62,NA,NA
Recklinghausen,activity55,NA,NA
SchlossHolteStukenbrock,activity63,NA,NA
Kreuztal,activity48,NA,NA
Ennepetal,activity43,NA,NA
Erwitte,activity11,NA,NA
Selfkant,activity07,NA,NA
BadBerleburg,activity69,NA,NA
Schermbeck,activity48,NA,NA
Luebbecke,activity70,NA,NA
Sprockhoevel,activity17,NA,NA
Meinerzhagen,activity42,NA,NA
Hattingen,activity68,NA,NA
Olsberg,activity41,NA,NA
Kall,activity16,NA,NA
Blomberg,activity67,NA,NA
BadLaasphe,activity35,NA,NA
NeunkirchenSeelscheid,activity71,NA,NA
Schalksmuehle,activity10,NA,NA
Dortmund,activity39,NA,NA
Neunkirchen,activity72,NA,NA
Boenen,activity68,NA,NA
Rietberg,activity33,NA,NA
KampLintfort,activity72,NA,NA
Kranenburg,activity10,NA,NA
Willich,activity64,NA,NA
Drensteinfurt,activity14,NA,NA
Minden,activity28,NA,NA
Moehnesee,activity21,NA,NA
Hemer,activity64,NA,NA
BadHonnef,activity21,NA,NA
Reichshof,activity48,NA,NA
Juelich,activity70,NA,NA
Borchen,activity05,NA,NA
Hiddenhausen,activity53,NA,NA
Nuembrecht,activity39,NA,NA
MonheimamRhein,activity67,NA,NA
NeukirchenVluyn,activity10,NA,NA
Rheinbach,activity49,NA,NA
HennefSieg,activity67,NA,NA
Swisttal,activity72,NA,NA
Lohmar,activity15,NA,NA
Weilerswist,activity67,NA,NA
Borgentreich,activity62,NA,NA
PortaWestfalica,activity70,NA,NA
Merzenich,activity35,NA,NA
Brilon,activity25,NA,NA
Kaarst,activity39,NA,NA
Marl,activity52,NA,NA
Dorsten,activity69,NA,NA
Oerlinghausen,activity23,NA,NA
Grefrath,activity31,NA,NA
Nettersheim,activity71,NA,NA
Rhede,activity40,NA,NA
Altena,activity28,NA,NA
WetterRuhr,activity48,NA,NA
BadDriburg,activity18,NA,NA
Ruppichteroth,activity05,NA,NA
Siegburg,activity51,NA,NA
Hagen,activity39,NA,NA
Herscheid,activity53,NA,NA
Altenbeken,activity51,NA,NA
Meckenheim,activity49,NA,NA
Reken,activity42,NA,NA
Leopoldshoehe,activity65,NA,NA
Wegberg,activity45,NA,NA
Dueren,activity10,NA,NA
Ladbergen,activity20,NA,NA
Neuenkirchen,activity48,NA,NA
Lindlar,activity45,NA,NA
Kempen,activity04,NA,NA
Legden,activity36,NA,NA
Rommerskirchen,activity10,NA,NA
Hueckeswagen,activity22,NA,NA
Wadersloh,activity60,NA,NA
Bornheim,activity63,NA,NA
Waldbroel,activity10,NA,NA
Telgte,activity06,NA,NA
Dormagen,activity23,NA,NA
Nordkirchen,activity66,NA,NA
Niederkassel,activity28,NA,NA
Balve,activity04,NA,NA
Billerbeck,activity30,NA,NA
Altenberge,activity63,NA,NA
Heiligenhaus,activity05,NA,NA
Ochtrup,activity09,NA,NA
Velen,activity69,NA,NA
Wassenberg,activity23,NA,NA
Harsewinkel,activity37,NA,NA
Erftstadt,activity03,NA,NA
Rees,activity61,NA,NA
Heek,activity68,NA,NA
Hoexter,activity54,NA,NA
Vlotho,activity44,NA,NA
Aldenhoven,activity15,NA,NA
EsloheSauerland,activity66,NA,NA
Dahlem,activity05,NA,NA
Gescher,activity17,NA,NA
Wachtendonk,activity44,NA,NA
Herne,activity39,NA,NA
HalternamSee,activity52,NA,NA
Toenisvorst,activity57,NA,NA
Moers,activity27,NA,NA
Schlangen,activity71,NA,NA
Meschede,activity28,NA,NA
Dinslaken,activity11,NA,NA
Kerpen,activity63,NA,NA
Koenigswinter,activity45,NA,NA
Kierspe,activity29,NA,NA
Marienheide,activity54,NA,NA
Winterberg,activity54,NA,NA
Aachen,activity71,NA,NA
Alsdorf,activity70,NA,NA
Baesweiler,activity65,NA,NA
Eschweiler,activity10,NA,NA
Herzogenrath,activity31,NA,NA
Monschau,activity35,NA,NA
Roetgen,activity71,NA,NA
Simmerath,activity42,NA,NA
StolbergRhld,activity09,NA,NA
Vreden,activity48,NA,NA
Wuerselen,activity61,NA,NA
