,activity01,activity02,activity03,activity04,activity05,activity06,activity07,activity08,activity09,activity10,activity11,activity12,activity13,activity14,activity15,activity16,activity17,activity18,activity19,activity20,activity21,activity22,activity23,activity24,activity25,activity26,activity27,activity28,activity29,activity30,activity31,activity32,activity33,activity34,activity35,activity36,activity37,activity38,activity39,activity40,activity41,activity42,activity43,activity44,activity45,activity46,activity47,activity48,activity49,activity50,activity51,activity52,activity53,activity54,activity55,activity56,activity57,activity58,activity59,activity60,activity61,activity62,activity63,activity64,activity65,activity66,activity67,activity68,activity69,activity70,activity71,activity72
Holzwickede,1,2,2,1,3,4,4,1,3,3,4,3,4,3,1,4,5,0,4,2,5,4,2,2,5,4,1,2,5,4,3,2,5,2,3,4,3,3,4,4,3,2,3,4,2,4,4,1,3,1,3,0,5,0,3,4,3,4,3,3,1,5,1,3,0,5,5,0,4,4,4,2
Juechen,2,3,4,4,1,3,5,4,2,1,3,4,2,3,3,4,4,1,3,3,2,5,2,1,3,0,3,2,1,4,1,3,2,3,1,3,5,0,4,2,1,2,4,3,2,0,4,2,4,4,5,3,2,2,3,3,4,2,2,3,3,2,1,2,3,2,3,3,4,2,3,1
Luedinghausen,2,2,1,4,5,1,5,1,3,4,5,2,1,1,4,4,1,2,4,3,4,2,1,4,2,0,4,2,1,2,2,5,4,0,4,4,3,2,1,4,4,5,2,3,2,4,2,2,4,2,3,5,4,0,4,4,2,3,2,2,1,4,2,2,3,1,4,4,4,3,3,5
Hilden,3,2,3,2,2,1,4,2,4,3,2,4,1,1,1,1,4,3,2,3,3,4,2,5,1,3,4,2,3,4,2,2,1,2,3,3,4,5,2,1,1,4,2,2,1,2,3,3,3,2,3,4,4,3,4,4,3,5,2,3,4,5,4,3,2,1,4,1,2,3,5,4
Borgholzhausen,3,2,2,4,4,1,3,1,3,2,1,4,1,0,4,1,1,1,2,1,3,0,3,3,5,3,2,2,2,1,4,5,4,1,5,4,3,5,2,5,4,2,3,4,1,0,3,3,2,2,3,1,2,3,3,3,4,3,3,0,3,0,4,4,2,5,3,3,2,3,5,3
Kirchlengern,4,4,4,1,5,2,2,3,0,4,1,2,3,3,4,1,5,2,2,3,3,1,4,3,5,4,4,3,4,5,1,5,2,2,1,3,2,1,0,3,2,2,1,4,4,2,3,2,0,3,2,2,0,2,3,3,1,5,2,1,3,4,3,4,0,1,5,4,4,5,4,4
Marienmuenster,2,2,0,3,1,1,3,0,5,3,4,2,1,1,1,1,2,4,4,0,2,3,3,1,1,2,4,5,1,3,0,4,2,3,2,2,3,2,2,2,3,5,3,4,1,3,5,1,4,5,2,0,4,1,1,2,4,4,2,2,4,4,4,3,1,3,1,4,1,1,3,2
Sonsbeck,3,4,4,3,3,1,4,4,3,2,1,3,1,3,2,2,3,5,4,0,2,2,4,1,0,3,1,5,3,4,2,3,3,0,0,4,3,2,2,3,5,5,1,5,4,4,5,2,2,2,1,2,2,3,4,2,5,1,5,2,2,4,3,5,1,3,3,4,2,4,3,3
Straelen,1,3,3,2,1,2,1,1,2,4,3,3,2,4,4,3,4,4,2,2,3,1,2,2,2,3,5,5,1,3,3,4,4,5,1,1,4,4,3,3,4,2,3,4,2,5,0,2,1,4,3,3,3,4,1,2,0,4,4,4,2,3,1,3,3,3,2,1,4,1,4,0
Wuppertal,2,4,1,0,2,4,2,1,5,3,4,3,4,2,1,1,4,5,3,3,2,4,3,3,1,0,4,0,2,3,4,3,3,1,3,1,1,5,0,2,2,3,2,3,3,3,3,3,3,4,2,4,5,4,5,2,5,4,4,2,3,1,2,4,5,4,1,4,2,4,4,1
Suedlohn,1,2,3,4,2,1,3,2,1,1,3,4,5,2,4,5,3,2,4,5,3,2,1,1,1,5,4,1,3,1,1,4,1,3,0,2,1,3,4,4,1,3,2,4,1,2,4,5,1,4,4,3,5,0,3,3,2,3,5,4,1,5,1,2,3,1,5,2,1,1,3,4
Leverkusen,2,3,1,2,4,2,0,1,3,1,4,4,3,4,4,3,4,3,2,0,3,3,1,5,1,4,4,1,3,1,1,1,3,1,5,4,3,3,1,1,3,4,0,3,4,1,5,2,3,3,1,2,1,3,3,3,1,3,2,5,4,2,4,3,3,4,4,4,2,5,4,4
Schwerte,5,0,2,4,4,5,3,1,3,1,3,3,4,5,5,5,3,4,4,0,3,5,4,3,2,1,3,3,1,1,1,2,1,4,1,5,2,5,4,1,5,3,4,5,4,1,1,1,4,4,1,3,3,2,3,1,3,2,3,0,2,3,2,3,2,4,3,2,2,2,1,3
Engelskirchen,1,3,2,0,2,2,3,4,0,1,1,3,2,3,4,2,2,5,3,3,4,3,5,3,2,1,3,4,3,3,4,4,4,2,4,1,3,4,3,4,1,1,4,3,1,5,0,2,2,2,1,2,1,4,4,2,3,4,3,3,4,1,4,3,1,2,2,3,5,4,4,2
Werl,3,2,4,3,4,2,4,1,4,4,4,1,4,4,4,3,3,2,3,1,3,3,2,3,5,3,3,3,3,5,2,3,3,2,1,3,4,1,3,3,3,1,3,2,4,2,1,2,2,5,2,2,4,2,2,4,4,1,5,3,1,1,4,3,1,3,3,2,1,3,3,2
Wesseling,1,2,2,4,3,2,2,4,4,3,1,4,1,4,4,1,1,4,4,1,4,3,0,2,1,4,2,3,1,3,4,2,5,5,2,4,2,2,2,4,1,2,2,4,3,3,1,5,2,4,2,0,0,2,4,4,2,4,1,1,1,4,2,3,4,2,1,3,5,4,4,2
Tecklenburg,0,4,4,1,0,3,1,1,3,3,2,2,4,3,2,1,4,1,0,4,3,2,3,5,3,2,3,4,4,2,2,1,3,0,3,5,5,0,2,3,2,2,0,2,3,5,5,4,3,3,4,4,1,3,0,1,4,5,3,3,4,1,4,3,2,1,0,2,2,4,2,2
Mettmann,1,3,4,3,2,2,4,3,4,3,2,2,3,2,0,4,1,3,2,3,2,1,2,4,3,1,4,0,2,5,5,4,2,3,2,4,4,2,4,5,2,1,3,2,3,3,1,3,1,1,4,3,2,3,3,2,3,4,5,3,3,1,1,3,4,2,3,5,4,2,5,3
Bocholt,2,4,2,0,1,1,2,3,2,3,2,3,3,4,3,2,3,3,2,2,4,3,3,2,2,2,1,2,1,1,2,5,4,4,4,3,4,1,2,2,4,1,4,3,3,2,4,2,3,3,1,3,3,2,5,1,3,3,3,1,3,0,3,3,3,5,3,4,2,5,5,4
Schleiden,4,1,4,4,3,3,4,2,3,3,1,2,3,4,5,3,2,2,3,4,0,5,4,2,2,0,3,4,5,3,3,4,2,4,3,3,2,4,1,1,2,5,4,3,5,5,4,5,3,3,4,2,2,3,2,0,4,2,3,1,3,4,4,2,3,2,4,4,4,2,3,2
Ratingen,4,5,2,4,3,3,2,4,1,1,4,4,2,5,2,3,2,2,3,4,2,5,3,3,4,3,4,1,3,4,5,4,2,2,2,5,2,2,3,4,0,1,1,1,4,4,2,1,3,2,4,2,5,2,1,1,3,3,5,3,4,3,3,5,2,4,4,2,2,4,2,1
Meerbusch,1,2,2,3,2,3,2,2,3,2,4,2,5,3,3,4,2,3,3,4,3,1,0,5,3,3,1,4,3,3,2,2,3,3,3,4,3,2,2,3,4,2,4,5,1,3,3,4,5,1,4,1,1,3,4,3,2,3,4,1,5,3,1,0,5,3,3,3,3,3,3,3
Hellenthal,1,4,3,1,2,2,4,3,4,5,4,3,5,2,1,1,3,1,4,2,3,0,5,2,3,3,2,4,5,3,2,1,0,4,3,2,1,4,1,4,0,2,2,3,2,0,2,4,3,4,4,3,1,3,0,3,3,2,3,2,3,2,3,2,0,3,2,4,1,2,3,4
UebachPalenberg,3,4,3,3,1,1,3,3,3,1,2,1,4,0,3,2,3,1,2,4,0,3,3,2,4,5,1,2,2,1,4,5,4,1,4,3,3,1,4,4,3,4,2,4,3,2,2,2,3,1,1,2,5,0,0,2,1,4,3,0,3,2,1,0,1,2,3,3,3,1,1,4
Bestwig,4,2,1,3,1,1,4,3,1,4,3,3,3,4,4,3,4,1,2,2,4,2,3,3,2,4,4,4,4,4,3,2,2,2,2,1,3,1,2,5,3,2,4,3,3,1,3,5,1,2,4,2,1,1,4,2,1,3,3,5,1,1,2,4,4,4,4,2,2,4,1,0
Lengerich,2,5,3,0,1,2,4,4,3,4,2,1,2,5,3,4,4,3,2,5,2,4,3,4,2,4,4,3,1,2,0,3,2,1,2,2,4,3,0,5,4,3,5,2,4,3,3,4,2,1,2,4,3,3,2,1,1,1,5,4,4,3,1,2,4,2,5,4,2,5,3,2
Radevormwald,2,2,4,4,1,1,4,3,5,4,3,3,4,4,5,4,3,3,2,3,1,3,2,3,2,5,5,4,2,4,3,2,2,2,2,3,2,2,2,4,4,0,2,4,2,3,4,3,1,3,2,3,5,2,0,4,3,2,3,1,3,2,2,3,3,4,1,4,4,3,4,3
Siegen,0,1,3,5,2,5,5,4,4,1,1,3,4,4,1,4,2,0,3,3,3,4,1,3,4,4,0,4,5,2,4,3,5,4,4,1,4,4,0,2,5,1,0,2,3,0,1,3,4,0,3,0,3,2,4,2,4,4,3,1,3,2,4,2,3,5,5,5,2,3,0,2
Soest,3,5,3,3,1,2,2,2,4,3,4,4,3,3,4,3,3,3,4,3,5,5,5,0,0,2,0,1,5,3,3,1,3,1,2,3,4,2,4,3,3,3,4,3,2,3,0,4,4,3,4,3,3,2,4,5,4,3,4,3,2,1,3,5,3,4,3,4,3,0,4,4
Issum,3,4,1,3,2,2,1,5,3,1,4,0,2,1,2,2,1,3,1,4,3,3,2,3,1,3,3,4,2,3,3,4,1,3,2,0,3,1,0,4,3,1,1,2,5,4,4,3,2,3,5,1,4,1,5,4,2,2,4,1,2,5,2,4,1,3,3,4,4,4,2,3
Waltrop,2,2,5,4,2,2,1,0,1,2,4,0,1,1,2,4,2,4,2,1,3,4,3,3,2,1,3,5,2,2,5,2,1,4,2,2,2,0,4,2,4,3,4,3,4,2,4,4,2,4,5,2,2,1,0,2,3,4,2,1,1,1,4,2,3,3,3,5,3,2,2,2
CastropRauxel,3,1,1,3,1,3,3,1,4,1,4,2,4,1,4,1,3,1,3,2,4,4,5,1,1,3,3,1,1,4,4,1,2,5,2,2,4,4,2,3,5,3,4,4,1,5,2,2,3,0,1,4,4,2,4,0,3,2,1,2,2,4,4,3,3,4,4,3,3,5,4,5
Nettetal,1,5,2,3,2,3,3,3,1,4,4,2,3,4,5,3,3,3,5,1,2,2,0,1,4,3,1,2,0,4,2,4,1,3,3,2,5,3,4,3,3,3,3,4,3,3,2,2,1,2,1,2,4,3,2,3,3,2,4,3,3,3,2,3,4,2,1,1,4,1,1,4
BadSalzuflen,4,3,4,3,3,4,2,5,3,5,1,1,4,4,2,1,1,4,5,5,3,3,2,3,1,1,1,4,3,2,3,1,3,2,2,1,3,4,2,3,3,5,0,3,2,1,4,4,1,2,3,1,5,1,4,3,2,3,2,3,0,3,4,3,2,4,3,4,2,5,1,1
Rahden,3,4,2,4,4,0,3,0,1,2,1,2,3,2,0,4,4,4,3,0,5,2,1,2,0,3,2,4,5,3,3,5,4,2,0,3,4,1,5,2,2,0,3,3,2,3,2,3,3,2,0,5,2,3,3,1,4,5,5,0,1,1,3,1,2,1,4,2,2,1,1,3
Steinfurt,3,3,3,2,2,1,5,0,4,4,1,5,4,4,3,4,1,4,4,3,3,1,3,2,4,5,2,0,2,2,2,4,2,3,4,3,4,1,4,1,5,4,5,4,3,5,1,3,3,4,3,3,2,3,2,2,4,0,4,1,1,3,2,2,1,0,3,1,4,0,4,4
Lemgo,5,2,1,4,4,1,1,4,2,1,5,1,2,3,1,2,1,3,2,3,5,0,4,2,4,3,3,5,3,3,4,1,4,3,3,3,4,4,2,0,5,4,1,1,5,1,4,4,3,3,3,4,3,4,3,1,5,4,3,2,3,3,4,1,3,1,3,3,3,2,2,3
Hoerstel,5,1,3,3,5,4,3,4,3,1,1,3,3,4,3,3,2,1,1,4,2,2,2,4,1,2,3,4,3,4,4,3,2,5,2,2,2,3,1,2,2,4,2,1,4,3,1,1,3,4,0,3,4,3,1,2,1,3,2,1,4,2,2,1,2,4,2,4,3,2,3,5
Nieheim,4,4,2,1,1,3,3,3,3,2,2,4,4,4,1,0,5,1,3,2,5,3,3,1,3,1,3,1,5,1,2,5,3,0,3,4,3,2,5,4,1,2,4,4,4,3,4,3,4,5,1,4,3,4,4,5,1,2,5,2,5,3,4,2,1,2,4,0,3,2,2,4
Steinheim,3,2,5,4,2,3,1,2,1,4,1,4,3,3,2,1,2,2,0,5,5,1,2,2,1,1,2,3,1,3,4,2,2,2,2,3,4,4,4,5,2,4,4,0,2,3,4,2,2,4,3,3,1,4,4,4,2,1,5,4,2,1,3,4,2,2,5,3,3,4,4,4
Ruethen,5,5,4,1,3,2,4,4,3,4,4,3,4,3,1,1,2,2,2,1,3,2,4,3,1,3,2,4,4,1,4,4,2,5,3,2,0,1,2,3,5,4,5,4,4,1,4,3,4,2,4,1,4,0,4,4,3,3,2,4,4,4,2,3,4,0,2,2,3,2,4,3
BadWuennenberg,5,4,2,4,2,1,2,1,2,2,3,3,3,3,0,5,5,1,5,4,2,2,4,2,2,3,1,5,3,3,2,3,5,1,4,4,3,1,5,2,3,5,5,2,2,4,3,1,2,5,3,2,2,2,1,2,4,5,3,2,1,3,0,2,1,1,4,4,1,5,2,4
Vettweiss,0,0,5,2,2,2,2,3,5,3,2,4,1,2,1,3,2,1,4,3,5,4,4,4,2,2,2,5,3,1,0,3,0,1,1,3,4,3,5,4,3,1,3,1,1,1,3,3,4,2,0,1,2,2,1,3,1,4,4,2,2,4,3,5,2,4,4,5,3,2,3,2
Luenen,4,4,0,3,3,1,2,4,3,3,2,3,5,1,4,1,2,3,5,2,2,3,3,2,0,5,1,3,1,0,0,0,5,3,2,2,4,2,2,3,1,4,3,2,2,3,3,0,2,2,2,5,1,4,2,2,5,2,4,3,2,2,3,0,1,3,1,5,4,4,3,0
Bochum,3,4,2,4,2,5,5,2,5,2,2,1,3,3,2,5,3,2,5,5,3,4,5,2,4,5,1,3,3,2,4,3,3,2,2,3,2,2,5,3,3,5,2,2,5,4,2,4,3,2,2,0,1,3,2,3,1,5,1,3,5,2,3,2,3,3,3,5,4,5,3,3
Delbrueck,3,1,1,1,2,3,4,5,2,3,2,2,5,3,3,3,4,4,2,1,0,3,2,4,3,1,4,1,1,3,4,2,5,2,4,3,3,1,1,2,3,1,0,3,2,1,4,4,2,2,4,3,0,3,4,3,2,3,5,5,2,1,1,1,4,4,2,2,4,3,3,1
Gangelt,0,3,3,4,3,3,5,3,4,2,1,3,4,4,5,2,2,2,5,2,1,2,4,3,3,1,3,1,3,1,3,5,1,3,4,3,2,5,4,3,4,0,3,2,3,1,3,4,2,2,2,5,3,3,1,4,3,3,3,2,4,2,3,1,4,1,4,3,4,2,3,1
Kerken,2,5,2,3,1,2,3,2,1,4,3,1,3,0,2,3,3,5,3,2,1,3,4,1,0,4,3,4,1,3,4,3,3,2,4,1,3,2,2,3,1,3,2,3,4,1,4,2,4,1,3,4,3,1,3,4,2,3,2,2,2,3,4,3,5,3,3,2,2,3,1,4
Horstmar,2,2,3,4,5,2,1,3,1,3,5,2,1,4,1,2,2,2,2,2,5,3,3,4,2,1,2,3,1,2,1,0,5,3,5,2,3,0,4,3,1,1,3,2,5,0,2,3,2,2,0,3,1,5,3,3,3,3,5,2,1,2,4,3,4,3,5,4,3,2,3,2
Barntrup,4,1,3,4,4,3,4,5,4,2,4,1,4,0,5,5,3,2,3,3,4,2,1,1,2,1,2,5,4,4,2,4,5,3,3,1,2,4,3,3,3,5,0,5,0,2,1,3,2,0,1,3,3,3,1,4,4,5,1,3,3,0,5,4,0,5,3,2,2,3,3,2
Ascheberg,2,2,2,2,4,2,3,4,3,2,4,2,1,2,4,0,4,2,3,4,2,5,3,4,5,2,2,3,4,5,3,3,3,3,5,4,2,1,5,4,3,2,5,3,4,3,1,4,5,4,2,1,3,3,2,3,2,2,4,2,1,4,1,2,1,1,3,4,3,5,2,3
Wenden,5,1,3,2,2,1,4,2,1,4,3,3,2,2,3,2,1,4,4,3,5,2,4,4,0,5,2,1,3,4,2,5,4,0,0,1,2,3,0,0,2,3,1,3,3,2,3,1,3,3,2,2,1,3,2,3,3,3,2,0,4,1,3,3,1,3,5,1,2,5,1,1
Drolshagen,2,3,5,0,5,2,5,3,3,1,3,3,0,2,2,2,0,2,4,1,2,3,4,1,4,1,1,0,4,2,3,4,2,1,2,3,3,1,4,1,2,3,3,5,4,4,2,2,3,1,4,0,5,2,1,4,2,0,3,5,4,5,4,3,1,4,1,4,4,4,1,0
Geseke,4,3,3,3,3,5,3,3,2,2,2,4,2,2,1,2,2,3,4,1,3,1,3,1,3,2,2,1,2,0,1,2,2,4,4,4,2,4,3,1,3,4,2,3,1,4,4,5,4,4,0,5,1,4,2,4,4,2,5,2,3,4,1,2,1,2,5,3,2,5,2,5
Kevelaer,5,2,0,4,3,2,3,3,3,1,1,2,4,1,3,1,2,2,2,0,4,4,4,2,3,5,4,5,2,1,4,1,5,1,2,0,3,2,2,1,5,2,4,1,4,2,2,3,1,4,5,4,3,3,1,2,2,3,1,4,4,4,3,2,3,2,4,3,1,4,1,2
Hille,5,5,4,2,0,4,2,2,0,3,3,2,0,2,3,3,3,2,3,3,1,4,5,4,5,3,5,4,1,4,4,1,4,2,3,5,0,2,4,3,4,3,1,3,4,3,1,2,3,2,4,3,2,3,5,4,5,3,4,2,3,5,4,3,4,2,4,4,4,2,4,1
Heinsberg,2,2,3,1,2,3,2,1,4,5,5,1,3,0,3,1,4,3,4,2,3,3,5,4,1,4,2,2,3,1,3,1,5,5,3,1,3,3,3,5,3,3,2,1,1,3,2,3,2,2,4,4,4,2,5,0,0,4,4,5,3,3,5,0,1,4,4,1,4,2,5,5
Goch,3,3,1,4,2,3,2,1,4,4,4,4,1,1,3,4,4,4,2,4,3,4,2,2,3,4,1,1,4,3,5,4,4,2,5,3,2,3,4,0,0,5,1,1,3,4,3,4,4,4,4,3,4,3,2,1,3,2,2,5,2,5,2,5,1,3,3,4,4,3,2,2
Neuenrade,1,3,3,2,3,3,3,1,3,2,4,2,1,3,1,3,3,3,2,3,4,1,1,1,2,4,3,2,2,3,3,4,1,1,4,5,0,2,3,0,4,1,4,0,1,4,2,0,5,1,4,1,5,3,3,1,3,3,2,2,3,4,4,3,2,4,2,2,3,3,3,1
Loehne,0,4,1,2,3,2,4,2,5,1,4,1,3,2,3,2,5,2,1,1,3,3,3,2,2,3,2,4,3,3,1,2,4,3,2,1,1,2,2,3,2,5,5,3,2,3,5,2,2,3,2,5,3,5,1,2,3,4,3,1,1,3,1,4,5,2,0,5,3,4,1,3
Windeck,1,1,3,4,4,4,1,4,4,4,3,2,1,4,2,4,2,3,2,4,4,2,1,3,1,3,2,2,2,2,4,2,4,3,2,1,2,4,4,4,3,2,2,1,2,1,3,4,3,1,4,2,5,3,2,4,5,3,5,4,1,4,4,1,0,3,4,3,4,4,3,5
Mettingen,5,4,3,4,3,3,4,5,4,4,1,2,4,2,3,5,4,5,0,3,3,2,3,3,3,2,5,3,3,5,4,4,3,3,3,1,3,4,2,1,2,2,4,4,1,4,4,3,1,3,3,1,4,3,3,1,3,4,4,3,3,3,4,1,3,5,3,1,4,3,2,1
Muenster,5,1,2,1,4,3,3,4,2,1,3,1,0,1,3,4,1,4,1,1,5,4,3,3,2,5,1,3,3,3,3,2,2,3,5,3,3,2,4,3,2,1,5,3,3,1,4,2,3,2,2,3,1,0,2,5,2,2,4,0,3,0,4,1,4,5,1,3,3,3,4,2
Alfter,2,3,3,2,5,3,2,5,4,3,4,1,3,3,3,3,3,2,4,1,4,3,4,4,4,1,3,5,2,3,5,5,2,4,0,4,2,4,1,2,0,3,2,2,5,1,4,3,2,4,3,0,3,3,1,3,3,3,4,3,3,3,5,4,1,5,3,5,2,3,0,5
Rheurdt,5,1,1,0,5,5,1,5,4,1,2,3,5,1,4,1,4,4,2,0,5,0,4,3,4,4,0,5,3,3,4,3,2,1,2,2,5,2,3,2,3,3,2,3,2,1,2,2,3,4,4,5,2,5,3,5,2,3,1,4,4,3,4,3,4,2,4,2,5,3,0,2
Rheine,2,1,1,3,1,3,5,4,4,4,4,4,4,1,3,0,3,0,3,1,1,1,4,1,4,4,3,4,0,0,5,1,1,3,4,3,3,2,1,1,1,0,4,1,5,1,3,1,2,1,4,4,4,2,2,4,3,1,1,3,2,4,4,4,3,2,1,4,4,1,2,4
Augustdorf,2,3,5,3,2,2,3,2,4,1,2,0,5,4,1,0,5,2,2,2,5,4,2,3,2,4,2,2,3,3,3,2,1,4,1,5,5,2,2,3,5,4,3,2,4,4,1,0,2,4,2,1,5,2,3,4,2,2,3,4,5,2,3,4,2,4,4,5,4,5,4,4
Stemwede,2,2,1,5,1,4,4,4,1,2,4,4,1,3,0,3,1,1,4,5,3,2,1,3,2,4,4,3,2,4,3,3,5,4,0,0,3,3,3,4,1,3,5,3,1,1,1,4,4,2,5,4,3,1,1,1,3,1,2,3,1,4,3,1,2,2,3,4,3,3,4,2
Troisdorf,4,2,4,3,4,1,1,1,1,3,1,4,4,5,3,3,1,3,2,4,2,4,1,5,3,2,1,2,1,0,4,2,2,3,3,2,3,2,3,2,3,4,2,4,4,5,2,2,4,1,4,3,4,2,2,1,0,3,2,3,0,3,3,2,0,4,2,1,1,0,4,0
LangenfeldRhld,5,0,3,3,4,3,2,4,4,3,1,2,1,4,2,3,2,2,3,5,5,3,3,3,1,3,3,2,3,1,0,2,1,5,1,3,2,2,1,5,1,1,2,3,2,3,4,1,4,4,4,4,3,5,1,4,2,1,4,4,3,0,1,1,3,2,2,1,4,5,4,2
Extertal,1,4,5,2,5,4,4,2,4,5,3,2,2,3,2,2,5,0,4,5,3,4,4,0,1,3,2,5,2,4,3,3,4,3,4,1,1,2,3,1,2,4,1,4,5,1,2,5,3,2,3,4,3,2,3,4,2,1,2,2,3,1,1,3,2,3,0,0,0,1,1,3
Metelen,4,2,3,3,5,1,3,2,4,3,3,3,2,4,4,1,1,2,1,4,4,3,4,2,4,4,5,3,3,3,3,0,2,3,2,5,2,5,3,4,3,2,1,1,0,4,2,2,2,5,3,5,3,5,4,1,1,3,2,4,3,4,2,1,3,2,4,4,4,3,3,2
Wipperfuerth,1,3,1,2,5,3,4,2,5,3,4,1,3,4,4,3,0,4,2,1,2,2,1,5,4,1,2,5,4,4,3,1,3,2,5,3,3,4,1,2,3,1,3,1,3,3,3,3,5,4,3,4,2,3,5,4,1,1,0,3,1,2,1,2,2,1,2,3,2,2,2,2
