"","strat01","strat02","strat03","strat04","strat05","strat06","strat07","strat08","strat09","strat10","strat11","strat12","strat13","strat14","strat15","strat16","strat17","strat18","strat19","strat20","strat21","strat22","strat23","strat24","strat25","strat26","strat27","strat28","strat29","strat30","strat31","strat32","strat33","strat34","strat35","strat36","strat37","strat38","strat39","strat40","strat41","strat42","strat43","strat44","strat45","strat46","strat47","strat48","strat49","strat50","strat51","strat52","strat53","strat54","strat55","strat56","strat57","strat58","strat59","strat60","strat61","strat62","strat63","strat64","strat65","strat66","strat67","strat68","strat69","strat70","strat71","strat72"
"Lotte",3,2,3,3,3,4,3,2,3,4,3,2,3,3,4,3,2,3,2,4,2,3,3,3,4,3,4,3,4,2,3,3,3,3,3,3,2,5,4,3,2,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3,2,3,4,3,3,4
"Holzwickede",5,3,4,3,2,2,3,4,3,2,2,3,2,2,2,3,3,3,3,4,3,2,3,3,3,3,3,2,3,3,2,3,3,3,4,3,4,3,3,3,3,2,3,4,2,3,2,3,4,3,2,3,3,4,3,3,3,3,3,3,3,3,3,4,2,3,2,3,3,2,3,2
"Juechen",3,2,3,3,2,3,2,3,3,3,3,3,2,3,3,2,4,3,2,3,4,3,3,4,3,3,3,2,3,4,4,2,4,4,3,3,2,2,5,3,3,3,3,4,4,3,3,3,3,4,3,3,2,3,2,4,4,3,3,3,2,4,4,3,3,3,3,2,2,3,3,2
"Luedinghausen",3,3,3,3,3,3,2,3,3,3,3,4,3,3,3,2,2,3,4,2,3,3,4,2,3,5,3,4,3,3,3,3,4,4,3,3,2,3,4,4,3,2,3,2,1,3,3,3,3,3,3,3,3,3,3,4,2,3,2,3,3,3,3,4,2,3,3,3,2,3,4,2
"Hilden",2,3,2,2,3,3,2,3,3,3,3,4,5,2,3,4,3,2,4,4,4,1,3,2,2,3,3,3,3,3,3,3,3,2,3,2,4,4,3,3,3,1,3,3,3,3,3,2,4,2,2,3,2,3,4,2,3,3,3,2,3,3,4,3,3,2,3,4,3,3,3,3
"Borgholzhausen",3,3,3,3,3,3,3,3,1,3,4,1,3,3,3,3,3,4,3,3,3,3,3,2,3,4,3,4,3,3,3,3,4,3,2,3,2,5,3,3,2,2,3,4,3,2,3,3,4,4,3,3,3,3,3,3,3,3,3,3,1,2,4,4,3,4,4,3,3,3,3,3
"Kirchlengern",4,3,2,3,3,4,3,3,4,3,3,2,4,2,3,2,3,3,3,3,3,3,4,4,2,3,3,3,4,3,2,3,4,4,3,4,4,3,3,4,4,3,2,3,3,4,3,4,2,4,2,3,3,3,3,2,3,3,3,2,3,3,3,4,3,2,3,3,1,4,3,4
"Marienmuenster",4,3,3,3,4,4,3,3,3,4,3,2,3,3,3,2,3,2,4,2,4,3,3,3,4,3,3,2,3,3,4,3,3,2,3,3,3,2,3,3,3,3,3,3,2,3,4,3,3,2,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,4,3,3,3,3,3,3
"Sonsbeck",3,3,4,4,4,3,3,3,3,3,2,3,2,3,4,2,3,3,3,2,3,4,2,3,3,3,3,3,3,1,3,4,3,3,4,3,2,4,3,1,4,3,3,4,3,2,4,4,3,4,3,2,3,4,3,2,3,3,2,3,3,4,3,2,3,3,3,2,3,3,3,3
"Straelen",3,2,3,3,2,2,3,3,4,3,5,3,1,3,2,2,4,3,4,2,4,3,2,4,3,3,2,4,3,2,3,3,2,3,3,3,2,2,4,4,4,2,2,3,3,2,3,3,2,3,2,3,2,3,4,4,3,3,4,3,4,3,4,2,2,2,3,3,3,3,4,4
"Wuppertal",3,3,4,3,3,3,2,3,3,1,3,3,5,3,3,4,3,4,3,3,3,3,3,2,3,3,4,3,4,4,3,3,3,2,3,4,4,3,3,4,2,3,3,3,3,3,4,3,4,3,2,4,3,3,4,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2
"Suedlohn",2,3,3,3,3,3,3,4,3,4,3,3,4,3,3,3,3,2,3,3,4,3,3,3,3,2,3,3,3,3,3,4,4,3,2,3,2,2,4,3,3,4,2,3,2,3,3,3,2,3,2,3,2,4,3,3,2,3,2,3,3,3,3,3,4,3,3,2,3,3,3,4
"Leverkusen",3,4,3,3,3,3,3,3,3,3,3,2,3,4,4,4,3,3,3,4,3,3,2,3,2,3,4,4,3,3,2,2,4,3,4,3,2,2,3,5,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,4,3,3,3,3,2,3,4
"Schwerte",3,2,3,4,3,3,3,2,2,3,3,4,3,4,3,3,3,3,3,3,2,3,3,3,2,3,3,4,3,3,2,3,3,3,2,3,2,3,3,4,4,3,2,2,3,3,4,2,2,1,3,4,3,4,3,3,3,3,2,4,2,3,4,3,3,2,3,3,3,3,2,2
"Engelskirchen",2,3,2,3,4,4,2,3,3,3,2,3,3,2,4,4,3,3,4,4,3,2,3,3,3,3,3,3,3,2,3,3,4,3,4,4,4,3,3,3,3,4,4,3,2,3,2,4,3,5,3,3,3,3,2,3,3,3,3,4,2,3,3,3,3,3,2,3,3,2,4,4
"Werl",4,2,3,3,4,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,2,3,2,3,3,3,3,3,1,3,2,4,3,2,3,3,2,3,3,3,3,3,4,4,3,3,2,4,3,2,3,4,3,2,3,3,2,3,3,3,2,3,3,3,3,4,4,3,3,3,3,4
"Wesseling",2,3,3,3,3,3,3,2,3,2,4,4,3,3,3,4,4,3,2,3,3,3,3,4,3,3,3,4,3,4,4,4,3,4,3,2,2,4,4,3,4,3,3,2,3,3,4,3,2,3,3,3,2,3,2,2,2,3,3,4,3,3,3,4,3,4,3,3,2,3,2,3
"Tecklenburg",3,4,3,3,4,2,4,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,3,3,4,3,4,2,3,4,3,3,3,3,4,3,3,3,4,3,2,2,4,3,3,3,4,4,4,4,2,3,3,3,2,4,4,4,3,4,3
"Mettmann",3,3,4,3,3,4,2,3,3,1,2,4,3,3,4,3,3,3,2,2,3,2,3,3,2,3,3,4,3,3,2,3,3,4,3,2,4,3,3,3,3,4,2,3,3,3,4,4,2,4,2,4,3,3,3,3,3,4,2,4,2,4,4,2,4,3,3,3,3,3,3,3
"Bocholt",3,2,2,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,3,3,4,2,3,2,4,4,2,3,3,2,4,3,4,3,3,4,3,2,4,3,3,4,2,3,1,2,4,3,4,3,3,3,3,3,3,3,3,4,3,2,3,3,3,4,3,2,3,3,3,3,1,3
"Schleiden",2,3,3,4,3,3,4,2,3,3,3,3,3,3,4,3,3,3,2,3,4,4,3,3,2,3,3,2,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,4,3,4,3,2,3,3,2,3,3,3,3,3,3,3,4,2,3,4,4
"Ratingen",3,2,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,2,2,2,4,4,2,3,3,3,2,3,4,3,3,3,3,4,3,4,2,4,4,3,4,3,2,2,4,2,2,3,2,4,3,3,2,2,3,4,4,3,3,4,2,3,4,3,3,2,3,2,3,3,3,3
"Meerbusch",2,4,3,4,3,3,2,3,4,3,3,2,2,4,3,3,3,3,3,3,4,4,2,3,3,2,2,2,4,2,2,2,3,2,2,4,3,4,3,2,3,3,2,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,2,2,3,4,3,4,2,4,3,3,2,4,4,3
"Hellenthal",3,3,2,3,3,3,3,4,4,2,3,2,3,3,3,3,4,3,3,3,2,4,3,3,4,3,4,3,3,3,2,3,4,3,4,3,3,3,3,3,4,4,4,3,3,4,3,3,2,3,3,3,3,3,4,3,3,4,2,3,2,4,4,4,2,4,3,3,4,2,3,4
"\Uebach-Palenberg\",3,3,3,3,3,2,3,3,3,3,2,3,2,2,3,3,3,3,3,3,2,4,4,2,3,4,3,3,4,3,3,2,4,3,4,2,4,3,3,2,3,3,2,3,2,3,3,3,2,4,3,3,3,2,4,3,3,3,4,3,3,3,4,1,3,3,3,4,3,3,3,3
"Bestwig",2,3,3,3,3,2,3,3,3,3,4,3,2,3,5,4,2,2,3,3,4,2,3,3,2,4,3,3,3,3,1,4,3,3,2,3,1,4,2,3,2,3,3,2,3,4,3,3,3,3,2,3,3,2,3,2,3,3,2,2,3,3,3,2,3,5,4,3,3,3,2,3
"Lengerich",3,2,4,3,3,3,3,4,2,4,3,3,3,3,3,2,3,3,3,3,3,3,4,4,2,3,3,3,3,4,4,3,2,2,3,3,4,3,3,3,3,3,2,3,3,3,3,1,3,3,3,2,3,3,4,3,3,3,3,3,3,3,4,3,2,3,2,4,4,3,4,3
"Radevormwald",2,3,1,3,3,3,2,2,3,2,4,3,2,4,2,3,3,3,4,3,3,3,3,3,3,4,2,4,3,4,3,3,3,4,4,3,2,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,2,4,2,3,2,3,4,3,3,3,4,2,4,2,2,4,3,3,3,4
"Siegen",3,3,5,3,3,2,3,2,3,3,4,3,3,3,3,3,3,3,2,3,4,3,2,3,3,3,3,3,3,3,4,3,3,4,4,3,2,4,2,4,3,4,2,3,2,3,3,2,3,3,4,2,2,3,3,1,2,3,4,4,3,3,3,3,2,2,3,2,2,2,2,3
"Soest",3,3,2,2,3,4,3,3,3,3,3,4,2,3,3,2,3,4,3,2,3,3,3,3,2,3,3,3,3,3,3,4,3,4,3,3,3,3,3,1,2,4,3,2,2,3,4,4,2,3,3,3,3,4,2,4,4,4,3,3,2,2,3,4,3,4,2,3,2,4,3,3
"Issum",4,3,3,3,3,4,4,2,3,3,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3,2,4,3,2,3,5,3,2,3,3,3,3,3,4,3,3,2,3,3,3,3,4,3,3,4,3,2,3,3,3,3,3,3,2,2,4,3,3,3,4,4,3
"Waltrop",2,3,3,3,4,3,4,3,3,3,2,3,2,3,3,3,3,3,3,2,3,3,3,2,3,3,4,2,4,3,4,3,3,4,4,4,3,3,3,2,4,4,3,3,3,4,3,4,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,4,3,2,2,3,3,4,3,3
"\Castrop-Rauxel\",2,3,3,3,3,3,4,2,2,4,3,3,3,3,2,3,4,3,4,3,3,4,3,4,3,3,4,3,3,4,4,3,2,4,3,3,3,4,3,3,4,5,3,4,2,3,4,3,3,2,3,5,3,3,2,2,3,4,2,3,4,3,4,2,3,4,4,3,3,3,4,3
"Nettetal",3,4,3,3,3,3,3,4,3,2,3,3,2,2,3,3,3,3,3,3,2,2,3,4,3,3,2,3,3,4,4,4,2,3,2,3,4,4,3,3,3,3,3,4,3,3,3,1,3,3,3,3,3,2,3,4,3,3,4,3,3,3,2,3,4,4,3,3,3,3,2,3
"\Bad Salzuflen\",3,3,3,3,3,2,4,4,3,2,3,3,3,3,3,3,4,4,4,3,3,3,3,4,2,3,3,3,2,3,3,2,3,3,2,2,3,3,4,4,3,4,4,4,2,3,3,3,2,3,4,3,3,4,2,3,2,4,3,3,2,2,2,3,3,3,2,4,3,4,3,4
